##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	reverse.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	12785150
Total Bases	1.9 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.76167757124477	40.0	40.0	40.0	40.0	40.0
2	39.289322377915006	40.0	40.0	40.0	40.0	40.0
3	39.371037649147645	40.0	40.0	40.0	40.0	40.0
4	39.37476103135278	40.0	40.0	40.0	40.0	40.0
5	39.40336734414536	40.0	40.0	40.0	40.0	40.0
6	39.42838621369323	40.0	40.0	40.0	40.0	40.0
7	39.4747769091485	40.0	40.0	40.0	40.0	40.0
8	39.479207987391625	40.0	40.0	40.0	40.0	40.0
9	39.46271447734286	40.0	40.0	40.0	40.0	40.0
10-14	39.502372611975616	40.0	40.0	40.0	40.0	40.0
15-19	39.53220994669597	40.0	40.0	40.0	40.0	40.0
20-24	39.542844065185	40.0	40.0	40.0	40.0	40.0
25-29	39.386032952292304	40.0	40.0	40.0	40.0	40.0
30-34	39.33826569105564	40.0	40.0	40.0	40.0	40.0
35-39	39.32472166536959	40.0	40.0	40.0	40.0	40.0
40-44	39.31380155883975	40.0	40.0	40.0	40.0	40.0
45-49	39.305551205891206	40.0	40.0	40.0	40.0	40.0
50-54	39.27653685721325	40.0	40.0	40.0	40.0	40.0
55-59	39.24417315401071	40.0	40.0	40.0	40.0	40.0
60-64	39.227457667684774	40.0	40.0	40.0	40.0	40.0
65-69	39.20428371978428	40.0	40.0	40.0	40.0	40.0
70-74	39.1772558945339	40.0	40.0	40.0	40.0	40.0
75-79	39.146067210787514	40.0	40.0	40.0	40.0	40.0
80-84	39.095912523513604	40.0	40.0	40.0	40.0	40.0
85-89	39.068470279973255	40.0	40.0	40.0	40.0	40.0
90-94	39.036605061340694	40.0	40.0	40.0	40.0	40.0
95-99	38.99467829474038	40.0	40.0	40.0	40.0	40.0
100-104	38.935817600888534	40.0	40.0	40.0	40.0	40.0
105-109	38.89065367242465	40.0	40.0	40.0	40.0	40.0
110-114	38.85681538347224	40.0	40.0	40.0	40.0	40.0
115-119	38.80818171081294	40.0	40.0	40.0	40.0	40.0
120-124	38.74815816787445	40.0	40.0	40.0	40.0	40.0
125-129	38.6544456341928	40.0	40.0	40.0	40.0	40.0
130-134	38.61395468962037	40.0	40.0	40.0	40.0	40.0
135-139	38.52655213274776	40.0	40.0	40.0	40.0	40.0
140-144	38.42088185121019	40.0	40.0	40.0	40.0	40.0
145-149	38.27909911107808	40.0	40.0	40.0	40.0	40.0
150-151	37.84153897294908	40.0	40.0	40.0	32.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.1754273996896174
1101	2	0.001617989376342166
1101	3	-0.004233520431526472
1101	4	0.0966789241017807
1101	5	0.09264122837469557
1101	6	0.08821085279677021
1101	7	0.012421079666495416
1101	8	-0.006075852502945622
1101	9	0.05054945897330043
1101	10-14	0.04693692743183675
1101	15-19	0.0019685595991560945
1101	20-24	0.015571026889467987
1101	25-29	0.04335824298367896
1101	30-34	0.03120795887085137
1101	35-39	0.06116282928974215
1101	40-44	0.04736705285719722
1101	45-49	0.0719448124052704
1101	50-54	0.09761850885433176
1101	55-59	0.1213820452692076
1101	60-64	0.1319791273191413
1101	65-69	0.13741253464676362
1101	70-74	0.15995833174370944
1101	75-79	0.19536779525109438
1101	80-84	0.23175483395466046
1101	85-89	0.22419165120133755
1101	90-94	0.22847504255425122
1101	95-99	0.27908525076294666
1101	100-104	0.28997191746065454
1101	105-109	0.3391310230361455
1101	110-114	0.29637790769088923
1101	115-119	0.33465401831239916
1101	120-124	0.34349111044218006
1101	125-129	0.3597741778753516
1101	130-134	0.31112421167663484
1101	135-139	0.3196034839815738
1101	140-144	0.32088471212223624
1101	145-149	0.2907078003457215
1101	150-151	0.4360681456112445
1102	1	0.20502936472584565
1102	2	-0.06769335412707278
1102	3	0.025925986958981184
1102	4	0.08995635503988098
1102	5	-0.08691024088481925
1102	6	0.051056988108932444
1102	7	-0.023317980310537223
1102	8	0.07153632633031748
1102	9	0.1691227237547892
1102	10-14	0.09956290212905827
1102	15-19	0.08328337344243408
1102	20-24	0.08564055998691344
1102	25-29	0.10313440994860201
1102	30-34	0.07270448464482371
1102	35-39	0.09317807469095385
1102	40-44	0.13160474393477983
1102	45-49	0.08767775653979726
1102	50-54	0.15221588336540748
1102	55-59	0.12883764104650197
1102	60-64	0.13911683530150043
1102	65-69	0.1794691773552728
1102	70-74	0.1636530487050507
1102	75-79	0.24376091713852333
1102	80-84	0.29615062369013856
1102	85-89	0.27657138915764534
1102	90-94	0.39338895442005395
1102	95-99	0.268380048945005
1102	100-104	0.3769568313919436
1102	105-109	0.28699703605088445
1102	110-114	0.26064258814175645
1102	115-119	0.34334769572623713
1102	120-124	0.2722694283960365
1102	125-129	0.3828491933714133
1102	130-134	0.3635659338667949
1102	135-139	0.3490070848963711
1102	140-144	0.32992114874772227
1102	145-149	0.27858223175211094
1102	150-151	0.3840143835180001
1103	1	0.2599330692960038
1103	2	0.005040830578501243
1103	3	0.048061206522191924
1103	4	0.3586443427096597
1103	5	0.2975163213786587
1103	6	0.0666434991799818
1103	7	0.14199777512178002
1103	8	0.013581890341491487
1103	9	0.19617936569679983
1103	10-14	0.10715094071603204
1103	15-19	0.08908070923447298
1103	20-24	0.07967395891627405
1103	25-29	0.13273347142079928
1103	30-34	0.14786635316837504
1103	35-39	0.14670512273201552
1103	40-44	0.15101967781122738
1103	45-49	0.1648123224362763
1103	50-54	0.18514314057981096
1103	55-59	0.17734108827839634
1103	60-64	0.2211375599770733
1103	65-69	0.22798879423776697
1103	70-74	0.18191202458130817
1103	75-79	0.2385112852561022
1103	80-84	0.28019977942796714
1103	85-89	0.23703796958617573
1103	90-94	0.3256573843813868
1103	95-99	0.32759537364535163
1103	100-104	0.3449694781229269
1103	105-109	0.4025625609796748
1103	110-114	0.3458143304732175
1103	115-119	0.3898739731286369
1103	120-124	0.3800532229657847
1103	125-129	0.5047705951081127
1103	130-134	0.4795652870807814
1103	135-139	0.4342263040742722
1103	140-144	0.4716598334326534
1103	145-149	0.5286164632464647
1103	150-151	0.5600236105398935
1104	1	0.22498331404750616
1104	2	0.2600199892748023
1104	3	0.11942790385477053
1104	4	0.09689138711722478
1104	5	-3.4819671230934546E-4
1104	6	0.057929091789112874
1104	7	0.03181374980086815
1104	8	-0.04876502001467742
1104	9	0.15449590528546508
1104	10-14	0.05683871568027854
1104	15-19	0.0657295777306004
1104	20-24	0.03510389370750033
1104	25-29	0.11347306153827219
1104	30-34	0.12190755296893485
1104	35-39	0.06969965106343778
1104	40-44	0.054781433965629844
1104	45-49	0.08439854162802618
1104	50-54	0.12968654905102994
1104	55-59	0.11690254442721226
1104	60-64	0.08676815389345904
1104	65-69	0.13962388439937712
1104	70-74	0.18795922278759036
1104	75-79	0.22210677160935433
1104	80-84	0.25677358255111216
1104	85-89	0.24616148325979736
1104	90-94	0.2924743950479183
1104	95-99	0.26649284244950167
1104	100-104	0.31346078781322717
1104	105-109	0.3496053051649852
1104	110-114	0.24278028192895107
1104	115-119	0.33888752456100235
1104	120-124	0.2642955937008651
1104	125-129	0.39017647912442754
1104	130-134	0.35191320826042016
1104	135-139	0.2911513619620436
1104	140-144	0.3894710977595892
1104	145-149	0.3829628549691364
1104	150-151	0.44308881974410497
1105	1	0.11757429654669238
1105	2	0.086245343240833
1105	3	0.04085767756757974
1105	4	0.14322009831638383
1105	5	0.08878783030281312
1105	6	0.0864570766702002
1105	7	0.045251885414948845
1105	8	0.11209380650170431
1105	9	0.04890893945357533
1105	10-14	0.008430750480904692
1105	15-19	-0.03642834659976302
1105	20-24	0.009331025324293307
1105	25-29	-0.034529200485991396
1105	30-34	0.03530867437432761
1105	35-39	0.01571105725220434
1105	40-44	0.04649638661609856
1105	45-49	0.055886702530450805
1105	50-54	0.09313281810356244
1105	55-59	0.108518039051269
1105	60-64	0.11674990512164385
1105	65-69	0.11167650189324974
1105	70-74	0.14075637886928405
1105	75-79	0.2025177383098722
1105	80-84	0.1972185684174974
1105	85-89	0.22253761866156907
1105	90-94	0.22760160565795928
1105	95-99	0.29648783322016925
1105	100-104	0.21977197276439142
1105	105-109	0.30228427411139336
1105	110-114	0.227901942425909
1105	115-119	0.34738537333717545
1105	120-124	0.3599532255907292
1105	125-129	0.37737158113954905
1105	130-134	0.3919996366395466
1105	135-139	0.3666532435512835
1105	140-144	0.317366611936194
1105	145-149	0.30598266544185293
1105	150-151	0.3432998047701048
1106	1	0.2794201248297554
1106	2	0.23158382983073977
1106	3	0.1010510338111601
1106	4	0.11902086241344279
1106	5	0.19142563431390158
1106	6	0.08006818093311807
1106	7	0.0033199072700824672
1106	8	0.07211309281905187
1106	9	0.09573766992325261
1106	10-14	0.1266970996966208
1106	15-19	0.08852144713929277
1106	20-24	0.038615511842252204
1106	25-29	0.1219486297467185
1106	30-34	0.097398329883994
1106	35-39	0.1469456361803978
1106	40-44	0.0559953424794557
1106	45-49	0.12819859121945143
1106	50-54	0.1537452031363813
1106	55-59	0.1535678371147995
1106	60-64	0.19835608514963354
1106	65-69	0.1139481811163634
1106	70-74	0.17446362372670166
1106	75-79	0.22229712579551375
1106	80-84	0.22654444049489086
1106	85-89	0.23463351837918367
1106	90-94	0.2287762442314758
1106	95-99	0.2888399111672797
1106	100-104	0.37277406265431523
1106	105-109	0.38458657218199477
1106	110-114	0.31203619815067896
1106	115-119	0.327643168190086
1106	120-124	0.40994795135682693
1106	125-129	0.45429795970505893
1106	130-134	0.43467946477630903
1106	135-139	0.4167924954507143
1106	140-144	0.5379024983489984
1106	145-149	0.4780114429552711
1106	150-151	0.5738796107995441
1107	1	0.1585763098196722
1107	2	0.2311109044184505
1107	3	0.14004110669107916
1107	4	0.12783782341670502
1107	5	0.09637939075731339
1107	6	0.0986228565615761
1107	7	0.16113896036046782
1107	8	0.032515981350215384
1107	9	0.17755925626252633
1107	10-14	0.10191078865209136
1107	15-19	0.10597592414691803
1107	20-24	0.10354824937845564
1107	25-29	0.18808007242411406
1107	30-34	0.15875032403320688
1107	35-39	0.1945826365156904
1107	40-44	0.20253069326187756
1107	45-49	0.1742284294405323
1107	50-54	0.2652862694145597
1107	55-59	0.2564651130879554
1107	60-64	0.3338549410701219
1107	65-69	0.280560666582538
1107	70-74	0.37858607454696624
1107	75-79	0.35516579487909894
1107	80-84	0.4263344867090382
1107	85-89	0.38476529830025186
1107	90-94	0.4986969723640726
1107	95-99	0.5301074767582321
1107	100-104	0.4936798363834214
1107	105-109	0.5250838497237282
1107	110-114	0.5044294713160866
1107	115-119	0.5178548670158136
1107	120-124	0.5629047351503118
1107	125-129	0.6068867557647977
1107	130-134	0.6386657632722432
1107	135-139	0.641005884416181
1107	140-144	0.7082673293252242
1107	145-149	0.7533719897605735
1107	150-151	0.826483739681521
1108	1	0.2976760719907432
1108	2	0.08644678528257543
1108	3	0.18160428787243887
1108	4	0.2089012202856111
1108	5	0.2810186199320128
1108	6	0.08096778103276137
1108	7	0.08627209493041477
1108	8	0.19737303585999655
1108	9	0.26545441302729245
1108	10-14	0.16036463342576468
1108	15-19	0.14059923443542033
1108	20-24	0.10953710997558375
1108	25-29	0.18748668353374143
1108	30-34	0.12939910453963677
1108	35-39	0.19965408062969914
1108	40-44	0.22044505194453734
1108	45-49	0.25444434603625865
1108	50-54	0.24561342733984048
1108	55-59	0.2754492820037484
1108	60-64	0.2820545035870694
1108	65-69	0.31638694076149676
1108	70-74	0.26369645694380495
1108	75-79	0.3080736829353512
1108	80-84	0.3658378327291274
1108	85-89	0.39903106353293794
1108	90-94	0.3671213080273361
1108	95-99	0.40399996892286083
1108	100-104	0.4686142711866097
1108	105-109	0.4305386450496016
1108	110-114	0.42392739651639744
1108	115-119	0.4296237721247351
1108	120-124	0.5062845017496613
1108	125-129	0.5539371044914745
1108	130-134	0.6262027641846188
1108	135-139	0.5287958314677468
1108	140-144	0.6055930327911057
1108	145-149	0.6298954882507601
1108	150-151	0.7176680361011094
1109	1	0.15657526271220235
1109	2	0.10184589965700042
1109	3	0.12730102432412593
1109	4	0.16761471532140604
1109	5	0.21072352633711944
1109	6	0.0251901167265558
1109	7	0.13888751440399716
1109	8	0.08121389909044296
1109	9	0.17394962122482838
1109	10-14	0.04505598618025175
1109	15-19	0.05397211498432597
1109	20-24	0.02859349349053275
1109	25-29	0.007364823818541311
1109	30-34	0.1110869814518054
1109	35-39	0.1082287554159791
1109	40-44	0.13288534938600804
1109	45-49	0.046469775344647246
1109	50-54	0.10209020060228369
1109	55-59	0.14115862802984225
1109	60-64	0.1734492899877651
1109	65-69	0.11711626015643617
1109	70-74	0.1844124443407935
1109	75-79	0.1889992388320465
1109	80-84	0.27394621596167923
1109	85-89	0.29768949019300095
1109	90-94	0.2540685924536916
1109	95-99	0.37048608443510034
1109	100-104	0.2856303007797081
1109	105-109	0.2978071124116539
1109	110-114	0.2975912823997575
1109	115-119	0.35132685276855113
1109	120-124	0.29599357850880637
1109	125-129	0.4245897977356634
1109	130-134	0.3618817848410103
1109	135-139	0.45406768436918554
1109	140-144	0.37891228981133906
1109	145-149	0.46700277307117233
1109	150-151	0.6551307861376401
1110	1	0.2232963463414137
1110	2	0.08061899721398191
1110	3	0.13601574082575496
1110	4	0.13887089832016386
1110	5	0.19240924608575938
1110	6	0.07171319006170052
1110	7	0.017721745302829106
1110	8	0.10328363568547871
1110	9	0.17837900192606782
1110	10-14	0.08844814070614149
1110	15-19	0.1444398579293349
1110	20-24	0.13248176266244371
1110	25-29	0.16045368666122073
1110	30-34	0.15886770395702143
1110	35-39	0.18792228274121214
1110	40-44	0.2394785760175111
1110	45-49	0.26227613098294
1110	50-54	0.2825781184075211
1110	55-59	0.23700747691388813
1110	60-64	0.2616315205059152
1110	65-69	0.2975201517695041
1110	70-74	0.31214871870518124
1110	75-79	0.27220849063025554
1110	80-84	0.3647932771456084
1110	85-89	0.3962985137486186
1110	90-94	0.41809492180378527
1110	95-99	0.41202040270402307
1110	100-104	0.44635148558331394
1110	105-109	0.4756168239531746
1110	110-114	0.4394134332473456
1110	115-119	0.5213938079251506
1110	120-124	0.474334884327277
1110	125-129	0.577600464775017
1110	130-134	0.5384108686211206
1110	135-139	0.6392665563604325
1110	140-144	0.6256749235351649
1110	145-149	0.7015359947125361
1110	150-151	0.9062319150895561
1111	1	0.20497092656744087
1111	2	0.1324814928428708
1111	3	0.18325085948587372
1111	4	0.19317216793803738
1111	5	0.20569663081926848
1111	6	0.13684576299579732
1111	7	0.11719540280691376
1111	8	0.16121474504049615
1111	9	0.1360591929056767
1111	10-14	0.2504985360038674
1111	15-19	0.1284820943480227
1111	20-24	0.16848467503061215
1111	25-29	0.20759534520847467
1111	30-34	0.30932463973190494
1111	35-39	0.27104388197904683
1111	40-44	0.28442754073829235
1111	45-49	0.2751818082521069
1111	50-54	0.3434426795206491
1111	55-59	0.38260448681963055
1111	60-64	0.3419143868205836
1111	65-69	0.3868897326268623
1111	70-74	0.41414579925670125
1111	75-79	0.38947638719948685
1111	80-84	0.47014611070596857
1111	85-89	0.4641666043970716
1111	90-94	0.4265138842942662
1111	95-99	0.5269640689916315
1111	100-104	0.4688923655323052
1111	105-109	0.4716628632858715
1111	110-114	0.5118440766785213
1111	115-119	0.4490497016355022
1111	120-124	0.47518011618978306
1111	125-129	0.49833842205006107
1111	130-134	0.5874283377165455
1111	135-139	0.6153750676423186
1111	140-144	0.6377001247241907
1111	145-149	0.6039230430919105
1111	150-151	0.8716028978485966
1112	1	0.08308717958933443
1112	2	-0.08428583559110336
1112	3	-0.00872821494048992
1112	4	0.12263297368247805
1112	5	0.13248681319805655
1112	6	0.11253255038730714
