##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	forward.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	12820854
Total Bases	1.9 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.98434098071782	40.0	40.0	40.0	40.0	40.0
2	39.3034846196673	40.0	40.0	40.0	40.0	40.0
3	39.39674720576336	40.0	40.0	40.0	40.0	40.0
4	39.215163358072715	40.0	40.0	40.0	40.0	40.0
5	39.20150904144139	40.0	40.0	40.0	40.0	40.0
6	39.28812355245602	40.0	40.0	40.0	40.0	40.0
7	39.125201800129695	40.0	40.0	40.0	40.0	40.0
8	39.17334991881196	40.0	40.0	40.0	40.0	40.0
9	39.172926546078756	40.0	40.0	40.0	40.0	40.0
10-14	39.18759714446479	40.0	40.0	40.0	40.0	40.0
15-19	39.48220223083423	40.0	40.0	40.0	40.0	40.0
20-24	39.558879525498064	40.0	40.0	40.0	40.0	40.0
25-29	39.41145826947253	40.0	40.0	40.0	40.0	40.0
30-34	39.362717896951324	40.0	40.0	40.0	40.0	40.0
35-39	39.40223604449439	40.0	40.0	40.0	40.0	40.0
40-44	39.3991220241647	40.0	40.0	40.0	40.0	40.0
45-49	39.38363176119157	40.0	40.0	40.0	40.0	40.0
50-54	39.32362352773068	40.0	40.0	40.0	40.0	40.0
55-59	39.188319498841494	40.0	40.0	40.0	40.0	40.0
60-64	39.14401945455428	40.0	40.0	40.0	40.0	40.0
65-69	39.21676799377015	40.0	40.0	40.0	40.0	40.0
70-74	39.24597631327835	40.0	40.0	40.0	40.0	40.0
75-79	39.22995104694274	40.0	40.0	40.0	40.0	40.0
80-84	39.19853972286089	40.0	40.0	40.0	40.0	40.0
85-89	39.17850448963852	40.0	40.0	40.0	40.0	40.0
90-94	39.15999664296934	40.0	40.0	40.0	40.0	40.0
95-99	39.120392853705376	40.0	40.0	40.0	40.0	40.0
100-104	39.09502646235578	40.0	40.0	40.0	40.0	40.0
105-109	39.06564383308631	40.0	40.0	40.0	40.0	40.0
110-114	39.01084252265879	40.0	40.0	40.0	40.0	40.0
115-119	38.97277950439182	40.0	40.0	40.0	40.0	40.0
120-124	38.939630043365284	40.0	40.0	40.0	40.0	40.0
125-129	38.88777019065968	40.0	40.0	40.0	40.0	40.0
130-134	38.85511002621198	40.0	40.0	40.0	40.0	40.0
135-139	38.80854099110714	40.0	40.0	40.0	40.0	40.0
140-144	38.767445631936845	40.0	40.0	40.0	40.0	40.0
145-149	38.70540839167188	40.0	40.0	40.0	40.0	40.0
150-151	38.35680017883364	40.0	40.0	40.0	40.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.018851108395978144
1101	2	-0.0029313093043654703
1101	3	0.016288333274872002
1101	4	-0.037189699984331526
1101	5	-0.01927731448233061
1101	6	-0.11268031897373021
1101	7	-7.48359359185713E-4
1101	8	-0.009296075280914806
1101	9	-0.04422181798388891
1101	10-14	-0.10783133028380121
1101	15-19	0.003407285111393321
1101	20-24	-0.006982967051946787
1101	25-29	0.011828821622358987
1101	30-34	0.006419982980830241
1101	35-39	0.013454943147486631
1101	40-44	0.032944104612369074
1101	45-49	-0.0035665742105663867
1101	50-54	-0.030681108727605988
1101	55-59	-0.0448705361292312
1101	60-64	-0.026071371124309906
1101	65-69	0.006539183408193594
1101	70-74	0.019601156093138172
1101	75-79	0.03977998284373996
1101	80-84	0.05374384072175076
1101	85-89	0.03772864169369683
1101	90-94	0.03024456712456214
1101	95-99	0.055652608482205324
1101	100-104	0.08242894305220005
1101	105-109	0.05580926912606543
1101	110-114	0.062292230170733376
1101	115-119	0.0976386576171322
1101	120-124	0.0680185697854725
1101	125-129	0.11074858445569902
1101	130-134	0.07979471718695663
1101	135-139	0.13586045958454918
1101	140-144	0.13104448811926517
1101	145-149	0.19222973409952715
1101	150-151	0.1993222693360579
1102	1	-0.1521587147043988
1102	2	-0.31878975013315625
1102	3	0.0779321766653922
1102	4	-0.009532769861579027
1102	5	-0.1185877923807368
1102	6	-0.013864707966341427
1102	7	0.16904887006722902
1102	8	0.04856589544702672
1102	9	0.062171158538312454
1102	10-14	0.010202595338618892
1102	15-19	0.10760968112975178
1102	20-24	0.10474027069413694
1102	25-29	0.10261033675495668
1102	30-34	0.1491418643830329
1102	35-39	0.14496241438902047
1102	40-44	0.13219578869206572
1102	45-49	0.10786053791196792
1102	50-54	0.08774008428750335
1102	55-59	0.0483017762952187
1102	60-64	0.14058867461682212
1102	65-69	0.10557998155130832
1102	70-74	0.11780794462266186
1102	75-79	0.07176427422499643
1102	80-84	0.1562884326551881
1102	85-89	0.2161262263800623
1102	90-94	0.12617269792378494
1102	95-99	0.21072834241180516
1102	100-104	0.12338598837905579
1102	105-109	0.2045707966303354
1102	110-114	0.22198259785908903
1102	115-119	0.21220545045972017
1102	120-124	0.2732557597133436
1102	125-129	0.2875701996966882
1102	130-134	0.2796809886032747
1102	135-139	0.3640830815845604
1102	140-144	0.15998421310493427
1102	145-149	0.3831884251993074
1102	150-151	0.3291124616644794
1103	1	-0.30683195311257805
1103	2	-0.25652554178461173
1103	3	-0.31859940420353894
1103	4	-0.23214442861781492
1103	5	-0.21543579043355265
1103	6	-0.3920988566824235
1103	7	-0.28929967563070846
1103	8	-0.16554509396516437
1103	9	-0.45221365343686415
1103	10-14	-0.3632183612148694
1103	15-19	-0.10811990387693982
1103	20-24	-0.03683694726862541
1103	25-29	-0.14735315356998768
1103	30-34	-0.0946916514986782
