##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	forward.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	13515361
Total Bases	2 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.85828280872409	40.0	40.0	40.0	40.0	40.0
2	39.255935376051	40.0	40.0	40.0	40.0	40.0
3	39.40336081292982	40.0	40.0	40.0	40.0	40.0
4	39.27314941865038	40.0	40.0	40.0	40.0	40.0
5	39.22686918980558	40.0	40.0	40.0	40.0	40.0
6	39.21701921243539	40.0	40.0	40.0	40.0	40.0
7	39.215204980466304	40.0	40.0	40.0	40.0	40.0
8	39.20081897923407	40.0	40.0	40.0	40.0	40.0
9	39.191242468477164	40.0	40.0	40.0	40.0	40.0
10-14	39.20465189202123	40.0	40.0	40.0	40.0	40.0
15-19	39.4883136898822	40.0	40.0	40.0	40.0	40.0
20-24	39.565101368731476	40.0	40.0	40.0	40.0	40.0
25-29	39.41514331729652	40.0	40.0	40.0	40.0	40.0
30-34	39.36825542432792	40.0	40.0	40.0	40.0	40.0
35-39	39.40652595221097	40.0	40.0	40.0	40.0	40.0
40-44	39.402272125768604	40.0	40.0	40.0	40.0	40.0
45-49	39.395399915695926	40.0	40.0	40.0	40.0	40.0
50-54	39.347703727632585	40.0	40.0	40.0	40.0	40.0
55-59	39.234512818414544	40.0	40.0	40.0	40.0	40.0
60-64	39.1933852451296	40.0	40.0	40.0	40.0	40.0
65-69	39.2640451409326	40.0	40.0	40.0	40.0	40.0
70-74	39.28062677719078	40.0	40.0	40.0	40.0	40.0
75-79	39.25376140526324	40.0	40.0	40.0	40.0	40.0
80-84	39.21394212111686	40.0	40.0	40.0	40.0	40.0
85-89	39.1864248095186	40.0	40.0	40.0	40.0	40.0
90-94	39.1652504139549	40.0	40.0	40.0	40.0	40.0
95-99	39.12112642792154	40.0	40.0	40.0	40.0	40.0
100-104	39.09363655177246	40.0	40.0	40.0	40.0	40.0
105-109	39.06423451064311	40.0	40.0	40.0	40.0	40.0
110-114	39.0105058385048	40.0	40.0	40.0	40.0	40.0
115-119	38.97147025521552	40.0	40.0	40.0	40.0	40.0
120-124	38.940949220668244	40.0	40.0	40.0	40.0	40.0
125-129	38.88951373181967	40.0	40.0	40.0	40.0	40.0
130-134	38.857654220260926	40.0	40.0	40.0	40.0	40.0
135-139	38.81272022256749	40.0	40.0	40.0	40.0	40.0
140-144	38.77551816780921	40.0	40.0	40.0	40.0	40.0
145-149	38.72043710856114	40.0	40.0	40.0	40.0	40.0
150-151	38.37092934476556	40.0	40.0	40.0	40.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.09029805607770669
1101	2	-0.04446121400550851
1101	3	-0.0013291743219454588
1101	4	-0.01570914378172006
1101	5	-0.05707379771403254
1101	6	-0.04526065945471203
1101	7	-0.07178220951404768
1101	8	-0.08875144951105796
1101	9	0.040616186087575556
1101	10-14	-0.08762383119330508
1101	15-19	-0.03827262099034101
1101	20-24	0.03269449639614663
1101	25-29	0.0160256057247139
1101	30-34	0.01132510520479002
1101	35-39	0.017444369309025376
1101	40-44	0.030337817519558996
1101	45-49	-0.029276627830881807
1101	50-54	0.018430156369831252
1101	55-59	-0.03208448774255146
1101	60-64	0.01010245597451842
1101	65-69	0.001820278020971955
1101	70-74	0.027223493804619636
1101	75-79	0.060779344011962166
1101	80-84	0.06196868342401274
1101	85-89	0.03451436161912369
1101	90-94	0.04427734480016454
1101	95-99	0.06082879057588997
1101	100-104	0.10484434789741925
1101	105-109	0.10180709802980914
1101	110-114	0.09990963159877708
1101	115-119	0.09316721236123016
1101	120-124	0.1083158786899503
1101	125-129	0.16790938908518882
1101	130-134	0.11540063695338887
1101	135-139	0.1612264827939356
1101	140-144	0.1726537421262364
1101	145-149	0.16216028562996598
1101	150-151	0.23697088652122034
1102	1	-0.22917498444851958
1102	2	-0.11087121496034769
1102	3	0.04458600348541353
1102	4	-0.12534275557993624
1102	5	-0.12526376397035932
1102	6	-0.09997477504796848
1102	7	0.07723763854033194
1102	8	0.04364337850069688
1102	9	-0.12490617427612705
1102	10-14	-0.03592700900787804
1102	15-19	0.026327868680269262
1102	20-24	0.02024915196024324
1102	25-29	-3.979971916905356E-4
1102	30-34	-0.01161915197498331
1102	35-39	-0.007219319939302693
1102	40-44	-0.027436829505028015
1102	45-49	-0.032940690007158935
1102	50-54	-0.024623024597516974
1102	55-59	-0.006819789967323686
1102	60-64	-0.021729016622479946
1102	65-69	0.0161886335528294
1102	70-74	0.040357403765035826
1102	75-79	0.010761238089607161
1102	80-84	-0.0012085546391489288
1102	85-89	0.0022512294206720185
1102	90-94	0.08209151858458341
1102	95-99	0.05208245905195241
1102	100-104	0.05697805427880809
1102	105-109	0.058167681526938964
1102	110-114	0.037373397234283345
1102	115-119	0.1076461851699122
1102	120-124	0.025001251807069025
1102	125-129	-0.008314021782325653
1102	130-134	0.08179820697646534
1102	135-139	0.0685032619935626
1102	140-144	0.04795456166694834
1102	145-149	0.1725900175362085
1102	150-151	0.2187784881260768
1103	1	-0.030459463493073713
1103	2	0.10963436080087519
1103	3	-0.34048919164117564
1103	4	-0.18336407005019595
1103	5	-0.16539321380854233
1103	6	-0.18209994328933732
1103	7	-0.3468688870540646
1103	8	-0.08671220778082755
1103	9	-0.3954256101206468
1103	10-14	-0.3564122121165383
1103	15-19	-0.03985800338614354
1103	20-24	0.0060481440149189325
1103	25-29	0.017327412849688528
1103	30-34	0.08233204049314935
1103	35-39	0.11350901908835453
1103	40-44	0.17358634522219063
1103	45-49	0.08690033650734819
1103	50-54	0.08279201977145334
1103	55-59	0.09709236048304604
1103	60-64	0.012721740004472792
1103	65-69	0.12829593397598416
1103	70-74	0.11184056626866123
1103	75-79	0.1778525242719411
1103	80-84	0.23831265462807494
1103	85-89	0.20698503232694776
1103	90-94	0.21245445238014327
1103	95-99	0.23325852886668486
1103	100-104	0.2394229729718873
1103	105-109	0.3098804204463832
1103	110-114	0.30836961994410217
1103	115-119	0.23308441428543603
1103	120-124	0.27544206925139747
1103	125-129	0.2746160332238432
1103	130-134	0.32707158459526653
1103	135-139	0.3219212921250403
1103	140-144	0.3765383283366148
1103	145-149	0.42931189075151366
1103	150-151	0.4029305683074895
1104	1	-0.01583300971818602
1104	2	0.14683128569738102
1104	3	0.006327287759567923
1104	4	0.07741521899639281
1104	5	0.04434461390680866
1104	6	-0.06527229364087361
1104	7	0.07087209461358412
1104	8	0.09862191404057796
1104	9	0.07694445361547508
1104	10-14	0.015956537472789023
1104	15-19	0.0556147609216211
1104	20-24	0.009959044862540622
1104	25-29	0.012769951781287148
1104	30-34	0.022299186823396155
1104	35-39	0.0032915277945804178
