##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	forward.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	13560173
Total Bases	2 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.78424736911543	40.0	40.0	40.0	40.0	40.0
2	39.221751079429445	40.0	40.0	40.0	40.0	40.0
3	39.37443187487357	40.0	40.0	40.0	40.0	40.0
4	39.25340333047373	40.0	40.0	40.0	40.0	40.0
5	39.25852568400123	40.0	40.0	40.0	40.0	40.0
6	39.25360952253338	40.0	40.0	40.0	40.0	40.0
7	39.14553214033479	40.0	40.0	40.0	40.0	40.0
8	39.232253747795106	40.0	40.0	40.0	40.0	40.0
9	39.183434311641896	40.0	40.0	40.0	40.0	40.0
10-14	39.18591970766155	40.0	40.0	40.0	40.0	40.0
15-19	39.4800975769262	40.0	40.0	40.0	40.0	40.0
20-24	39.55623026343395	40.0	40.0	40.0	40.0	40.0
25-29	39.40196164163982	40.0	40.0	40.0	40.0	40.0
30-34	39.35306297345912	40.0	40.0	40.0	40.0	40.0
35-39	39.39424902617393	40.0	40.0	40.0	40.0	40.0
40-44	39.387266755372515	40.0	40.0	40.0	40.0	40.0
45-49	39.380610970081285	40.0	40.0	40.0	40.0	40.0
50-54	39.338530032028345	40.0	40.0	40.0	40.0	40.0
55-59	39.22738183355035	40.0	40.0	40.0	40.0	40.0
60-64	39.186088230585256	40.0	40.0	40.0	40.0	40.0
65-69	39.25379341399258	40.0	40.0	40.0	40.0	40.0
70-74	39.26830794857853	40.0	40.0	40.0	40.0	40.0
75-79	39.24270972059132	40.0	40.0	40.0	40.0	40.0
80-84	39.20177154082031	40.0	40.0	40.0	40.0	40.0
85-89	39.173019813242796	40.0	40.0	40.0	40.0	40.0
90-94	39.149472503042546	40.0	40.0	40.0	40.0	40.0
95-99	39.10618535618978	40.0	40.0	40.0	40.0	40.0
100-104	39.078164504243425	40.0	40.0	40.0	40.0	40.0
105-109	39.048814023242926	40.0	40.0	40.0	40.0	40.0
110-114	38.99403537108265	40.0	40.0	40.0	40.0	40.0
115-119	38.95497165117288	40.0	40.0	40.0	40.0	40.0
120-124	38.92566898667148	40.0	40.0	40.0	40.0	40.0
125-129	38.87260060767661	40.0	40.0	40.0	40.0	40.0
130-134	38.84009187788386	40.0	40.0	40.0	40.0	40.0
135-139	38.79385683353745	40.0	40.0	40.0	40.0	40.0
140-144	38.754899100476074	40.0	40.0	40.0	40.0	40.0
145-149	38.697190692183646	40.0	40.0	40.0	40.0	40.0
150-151	38.348645699431714	40.0	40.0	40.0	40.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.05201474137476225
1101	2	-0.08927124589804691
1101	3	-0.0055205390904262686
1101	4	-0.055730175422326056
1101	5	-0.07827051538210839
1101	6	-0.09321200854566314
1101	7	-0.022088962759930553
1101	8	-0.08993487446402071
1101	9	-0.05781617821806151
1101	10-14	-0.09896583910553147
1101	15-19	-0.0255513410151309
1101	20-24	0.033113074304630175
1101	25-29	0.031176171716438716
1101	30-34	0.03353651466697727
1101	35-39	0.03725597391225932
1101	40-44	0.04441085701288472
1101	45-49	-0.008011587034467027
1101	50-54	0.004167704495010582
1101	55-59	0.004047047697348205
1101	60-64	-0.00943700597748176
1101	65-69	0.005511950211008809
1101	70-74	-0.00979601771278027
1101	75-79	0.03191414819022498
1101	80-84	0.038435232583438506
1101	85-89	0.04614680400761273
1101	90-94	0.041677203201743396
1101	95-99	0.04333573149641268
1101	100-104	0.048720149493242104
1101	105-109	0.03771650041009167
1101	110-114	0.0780719181621663
1101	115-119	0.028862327494842077
1101	120-124	0.036407137727941574
1101	125-129	0.09379146419465911
1101	130-134	0.06340777068025716
1101	135-139	0.10623279942769415
1101	140-144	0.12158447642895709
1101	145-149	0.1909217647256085
1101	150-151	0.22277087904846837
1102	1	-0.26650662295786276
1102	2	0.015342274313731252
1102	3	-0.056857458733844624
1102	4	0.05028943232342442
1102	5	0.06537665855081798
1102	6	0.06654720831312488
1102	7	-0.0862480170632196
1102	8	0.0558635012080444
1102	9	0.1307028576326701
1102	10-14	0.02342702224228077
1102	15-19	0.03578410908450991
1102	20-24	0.006924413514781236
1102	25-29	0.02782589237164501
1102	30-34	0.051438701482510396
1102	35-39	0.01787540852647851
1102	40-44	0.044469662136478405
1102	45-49	-0.005152012606174594
1102	50-54	0.06411800878990448
1102	55-59	0.07934312863152115
1102	60-64	0.0221165004620687
1102	65-69	0.023432414294688897
1102	70-74	0.04899391377960427
1102	75-79	0.11863265693342129
1102	80-84	0.11993149108992895
1102	85-89	0.09331108410207634
1102	90-94	0.19517460929628783
1102	95-99	0.11432658088394732
1102	100-104	0.12369102594024639
1102	105-109	0.15247741031186735
1102	110-114	0.2402050763578245
1102	115-119	0.20428729004776613
1102	120-124	0.2835487114720152
1102	125-129	0.26760325916787764
1102	130-134	0.26147941371493033
1102	135-139	0.29557730402052584
1102	140-144	0.34477151663048033
1102	145-149	0.3762341917779466
1102	150-151	0.3825539358222301
1103	1	0.15877036467395556
1103	2	0.027044117754819297
1103	3	-0.20067729497719
1103	4	-0.1697951176600725
1103	5	-0.2154377243757466
1103	6	-0.2978396471504041
1103	7	-0.45731557847197024
1103	8	-0.11661060732396322
1103	9	-0.31520872634369823
1103	10-14	-0.2876914577438896
1103	15-19	-0.0325556938417364
1103	20-24	0.049399936451706594
1103	25-29	-0.024143430757021633
1103	30-34	-4.1275456878508976E-4
