##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	reverse.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	13754101
Total Bases	2 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.66310549849823	40.0	40.0	40.0	40.0	40.0
2	39.220297567976274	40.0	40.0	40.0	40.0	40.0
3	39.328570002503255	40.0	40.0	40.0	40.0	40.0
4	39.34329462899829	40.0	40.0	40.0	40.0	40.0
5	39.37878004531158	40.0	40.0	40.0	40.0	40.0
6	39.40513494847828	40.0	40.0	40.0	40.0	40.0
7	39.44741702856479	40.0	40.0	40.0	40.0	40.0
8	39.46446503482852	40.0	40.0	40.0	40.0	40.0
9	39.44877138825722	40.0	40.0	40.0	40.0	40.0
10-14	39.49084931105275	40.0	40.0	40.0	40.0	40.0
15-19	39.52829699302048	40.0	40.0	40.0	40.0	40.0
20-24	39.54224934076026	40.0	40.0	40.0	40.0	40.0
25-29	39.37704686042366	40.0	40.0	40.0	40.0	40.0
30-34	39.331989666209374	40.0	40.0	40.0	40.0	40.0
35-39	39.32024893520848	40.0	40.0	40.0	40.0	40.0
40-44	39.31567941808773	40.0	40.0	40.0	40.0	40.0
45-49	39.31047678070708	40.0	40.0	40.0	40.0	40.0
50-54	39.28592660472684	40.0	40.0	40.0	40.0	40.0
55-59	39.25692079765882	40.0	40.0	40.0	40.0	40.0
60-64	39.24022012052987	40.0	40.0	40.0	40.0	40.0
65-69	39.217586783752715	40.0	40.0	40.0	40.0	40.0
70-74	39.192421460333904	40.0	40.0	40.0	40.0	40.0
75-79	39.16078222778792	40.0	40.0	40.0	40.0	40.0
80-84	39.11167736808098	40.0	40.0	40.0	40.0	40.0
85-89	39.0853829850457	40.0	40.0	40.0	40.0	40.0
90-94	39.055606789567705	40.0	40.0	40.0	40.0	40.0
95-99	39.01956072592458	40.0	40.0	40.0	40.0	40.0
100-104	38.9658207977388	40.0	40.0	40.0	40.0	40.0
105-109	38.920731351325685	40.0	40.0	40.0	40.0	40.0
110-114	38.89143326779409	40.0	40.0	40.0	40.0	40.0
115-119	38.84811554023051	40.0	40.0	40.0	40.0	40.0
120-124	38.794556678040976	40.0	40.0	40.0	40.0	40.0
125-129	38.713817587932496	40.0	40.0	40.0	40.0	40.0
130-134	38.688171680577305	40.0	40.0	40.0	40.0	40.0
135-139	38.622511380423916	40.0	40.0	40.0	40.0	40.0
140-144	38.5465725168079	40.0	40.0	40.0	40.0	40.0
145-149	38.447302284605875	40.0	40.0	40.0	40.0	40.0
150-151	38.04682167158726	40.0	40.0	40.0	32.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.012555649068872299
1101	2	0.02541243798421533
1101	3	0.013453700689439074
1101	4	0.06326990409840505
1101	5	0.037900872136276575
1101	6	0.026435849010091772
1101	7	0.002514019644564769
1101	8	-0.015868626492711257
1101	9	0.025197407385242343
1101	10-14	0.009981906114440164
1101	15-19	0.0025737450144092122
1101	20-24	0.00693546218505503
1101	25-29	0.02873408606008354
1101	30-34	0.045443993724290976
1101	35-39	0.03150074204049247
1101	40-44	0.045674270670453154
1101	45-49	0.056074975186007237
1101	50-54	0.0686162090866489
1101	55-59	0.13798499645932338
1101	60-64	0.10952979576754984
1101	65-69	0.12493883107630666
1101	70-74	0.14254326543569817
1101	75-79	0.14768498345973313
1101	80-84	0.19607121656979842
1101	85-89	0.2021986968038192
1101	90-94	0.2301402077765502
1101	95-99	0.25769046654039585
1101	100-104	0.275860921197399
1101	105-109	0.32067992365549713
1101	110-114	0.2742896716084431
1101	115-119	0.30770916168119555
1101	120-124	0.3454949327188217
1101	125-129	0.3820404098397745
1101	130-134	0.33756720855141253
1101	135-139	0.3342337611184334
1101	140-144	0.36803130485075286
1101	145-149	0.3916939667984991
1101	150-151	0.43808103361681816
1102	1	0.20659437452641782
1102	2	0.15233618935269533
1102	3	0.19957313502400353
1102	4	0.16313386403249552
1102	5	0.14497259630675075
1102	6	0.15423049428851954
1102	7	0.061565438998002264
1102	8	0.029746798693558674
1102	9	0.12672857553875616
1102	10-14	0.16781371463694228
1102	15-19	0.12383750884373512
1102	20-24	0.12062343853165203
1102	25-29	0.22309823272961182
1102	30-34	0.18616007559123204
1102	35-39	0.20993751924138593
1102	40-44	0.21137851849429268
1102	45-49	0.265674775945989
1102	50-54	0.2750271694547237
1102	55-59	0.3033172629016079
1102	60-64	0.30662755561404964
1102	65-69	0.3044510544488759
1102	70-74	0.37199228103445137
1102	75-79	0.32895036908288944
1102	80-84	0.38422279919110736
1102	85-89	0.40691670024125415
1102	90-94	0.40838691115769166
1102	95-99	0.43719764849863907
1102	100-104	0.5358811566429083
1102	105-109	0.500811366034867
1102	110-114	0.39742784161983025
1102	115-119	0.5464236301913985
1102	120-124	0.5341914463985233
1102	125-129	0.5317892895963752
1102	130-134	0.5006115061779752
1102	135-139	0.5262128604978855
1102	140-144	0.5168677302775961
1102	145-149	0.4399977574264824
1102	150-151	0.5787168070033673
1103	1	0.20669441444300674
1103	2	0.00131235368316851
1103	3	-0.26363685439230267
1103	4	0.019842252644508562
1103	5	-0.03044574114246501
1103	6	-0.0948808233067453
1103	7	-0.0722866443663861
1103	8	-0.0550035735576202
1103	9	0.11170138753824688
1103	10-14	0.030877751777580897
1103	15-19	0.03706116265262693
1103	20-24	-0.04175366889035104
1103	25-29	-0.028506000085130268
1103	30-34	-0.04799507571913608
1103	35-39	0.015526172992295528
1103	40-44	0.05258668267901356
1103	45-49	0.07574283290248474
1103	50-54	0.060181179581284994
1103	55-59	0.07075745012862455
1103	60-64	0.07607914142892014
1103	65-69	0.16088595645447867
1103	70-74	0.18665289892999937
1103	75-79	0.181156563938778
1103	80-84	0.23110713549085915
1103	85-89	0.21147606912850847
1103	90-94	0.23258987956064914
1103	95-99	0.2529439976213794
1103	100-104	0.23671967002324124
