##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	forward.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	12771579
Total Bases	1.9 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.73446157284076	40.0	40.0	40.0	40.0	40.0
2	39.195710099745696	40.0	40.0	40.0	40.0	40.0
3	39.36198366701564	40.0	40.0	40.0	40.0	40.0
4	39.27244109753383	40.0	40.0	40.0	40.0	40.0
5	39.1786728954971	40.0	40.0	40.0	40.0	40.0
6	39.13750210526044	40.0	40.0	40.0	40.0	40.0
7	39.08913909548694	40.0	40.0	40.0	40.0	40.0
8	39.12431861401006	40.0	40.0	40.0	40.0	40.0
9	39.1468782364342	40.0	40.0	40.0	40.0	40.0
10-14	39.17216569697451	40.0	40.0	40.0	40.0	40.0
15-19	39.46666801340696	40.0	40.0	40.0	40.0	40.0
20-24	39.546291402182916	40.0	40.0	40.0	40.0	40.0
25-29	39.388784613085036	40.0	40.0	40.0	40.0	40.0
30-34	39.343840068639906	40.0	40.0	40.0	40.0	40.0
35-39	39.38746264655294	40.0	40.0	40.0	40.0	40.0
40-44	39.38539101547271	40.0	40.0	40.0	40.0	40.0
45-49	39.37815112759354	40.0	40.0	40.0	40.0	40.0
50-54	39.335923678661814	40.0	40.0	40.0	40.0	40.0
55-59	39.22385073920774	40.0	40.0	40.0	40.0	40.0
60-64	39.182085598029815	40.0	40.0	40.0	40.0	40.0
65-69	39.25244419660247	40.0	40.0	40.0	40.0	40.0
70-74	39.268063847077954	40.0	40.0	40.0	40.0	40.0
75-79	39.24360397410532	40.0	40.0	40.0	40.0	40.0
80-84	39.204145235291584	40.0	40.0	40.0	40.0	40.0
85-89	39.1768675431597	40.0	40.0	40.0	40.0	40.0
90-94	39.15090724490683	40.0	40.0	40.0	40.0	40.0
95-99	39.10711366229657	40.0	40.0	40.0	40.0	40.0
100-104	39.07665841475044	40.0	40.0	40.0	40.0	40.0
105-109	39.04766297103905	40.0	40.0	40.0	40.0	40.0
110-114	38.9877452740965	40.0	40.0	40.0	40.0	40.0
115-119	38.9465852264626	40.0	40.0	40.0	40.0	40.0
120-124	38.910785048583264	40.0	40.0	40.0	40.0	40.0
125-129	38.85335797554868	40.0	40.0	40.0	40.0	40.0
130-134	38.817584669836044	40.0	40.0	40.0	40.0	40.0
135-139	38.76541868472175	40.0	40.0	40.0	40.0	40.0
140-144	38.722064045487244	40.0	40.0	40.0	40.0	40.0
145-149	38.66122276658196	40.0	40.0	40.0	40.0	40.0
150-151	38.322121798721994	40.0	40.0	40.0	40.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.015724058045151423
1101	2	-0.10348963510948295
1101	3	-0.02666817192248061
1101	4	-0.0752217326795801
1101	5	-0.062617582932333
1101	6	-0.12586520813069058
1101	7	0.03641843736485839
1101	8	-0.15445567890011347
1101	9	-0.09384619061638233
1101	10-14	-0.13917831712940654
1101	15-19	-0.06394880515095736
1101	20-24	0.016417121252111144
1101	25-29	0.018909533402336365
1101	30-34	-0.0018226781800336767
1101	35-39	0.0025882344649801325
1101	40-44	0.013931374337474267
1101	45-49	-0.020195041722374185
1101	50-54	-0.027162221642981876
1101	55-59	-0.005849079047564487
1101	60-64	-0.016323812860271403
1101	65-69	0.012050108142531712
1101	70-74	-0.026993114322465317
1101	75-79	0.009737977036920142
1101	80-84	0.0207729555261551
1101	85-89	0.02366912145205191
1101	90-94	0.0200557833683348
1101	95-99	0.010171570979046862
1101	100-104	0.053601523183459676
1101	105-109	0.016494171372258393
1101	110-114	0.07901582945792995
1101	115-119	0.06841155170241109
1101	120-124	0.06796020565974459
1101	125-129	0.10079722717579642
1101	130-134	0.12518865370339682
1101	135-139	0.11724206554918482
1101	140-144	0.15219318616532718
1101	145-149	0.15474190341011962
1101	150-151	0.1078632112866913
1102	1	-0.239883571479254
1102	2	-0.02465851707819411
1102	3	0.14050015305065955
1102	4	-0.007195347030382493
1102	5	-0.17790725159943577
1102	6	0.07620638064249619
1102	7	0.0790387661137828
1102	8	0.05835215727727672
1102	9	-0.23599856595239288
1102	10-14	0.05129701185852298
1102	15-19	0.04789548478545669
1102	20-24	2.606968878708926E-4
1102	25-29	0.07188203271017812
1102	30-34	0.07290396917293407
1102	35-39	0.03405350562751153
1102	40-44	0.02568007747625245
1102	45-49	0.010251392682043559
1102	50-54	-0.03375127122225052
1102	55-59	-0.08326272165250259
1102	60-64	0.02090153579079157
1102	65-69	0.0744005149210949
1102	70-74	0.05984616487431538
1102	75-79	0.060459774811995715
1102	80-84	0.09266072524272317
1102	85-89	0.04118769566493796
1102	90-94	0.08993098293601065
1102	95-99	0.04201056443218221
1102	100-104	0.038667356997997615
1102	105-109	0.06069844312860084
1102	110-114	0.03689929771016409
1102	115-119	0.04418280533161578
1102	120-124	-0.05035360068974626
1102	125-129	0.054099073780896845
1102	130-134	0.10325069478246007
1102	135-139	0.172408982489884
1102	140-144	0.19978687998441558
1102	145-149	0.23313948582028132
1102	150-151	0.25942759634008894
1103	1	-0.28028683464710724
1103	2	-0.25877910809053617
1103	3	-0.2849235730458659
1103	4	-0.3837933871418926
1103	5	-0.4626761960393395
1103	6	-0.4574841121510005
1103	7	-0.25545677820973367
1103	8	-0.33984537370566414
1103	9	-0.5094948653122984
1103	10-14	-0.5555739795154722
1103	15-19	-0.15566104114947876
1103	20-24	-0.1020080992699377
1103	25-29	-0.2107009932383903
1103	30-34	-0.11278368301658759
1103	35-39	-0.04794504842172387
1103	40-44	-0.04379609399235562
1103	45-49	-0.012438492555631342
1103	50-54	-0.05895185280866144
1103	55-59	-0.05711890565696365
1103	60-64	-0.034145906463358244
1103	65-69	-0.031709188178076886
1103	70-74	-0.015711335714804875
1103	75-79	0.010290092007423368
1103	80-84	-0.0038685119781689536
1103	85-89	-0.011040623489421364
1103	90-94	0.030003857572722836
1103	95-99	-0.06775633611943022
1103	100-104	0.05431376272024124
1103	105-109	0.03731700227551471
1103	110-114	0.08061702631707135
1103	115-119	0.08187787643488065
1103	120-124	0.03584622586028985
1103	125-129	0.0894578603364451
1103	130-134	0.17483776201916612
1103	135-139	0.21836841571565202
1103	140-144	0.17167772512821955
1103	145-149	0.18662411497879106
1103	150-151	0.25533020145606145
1104	1	0.3389317940721739
1104	2	-0.08308879064601626
1104	3	-0.013683051600949625
1104	4	-0.07604216811512288
1104	5	-0.0012667025574017998
1104	6	-0.04897062822224996
1104	7	-0.07773561192453116
1104	8	-0.049342438090178575
1104	9	-0.1079345110481924
1104	10-14	-0.037907982898886416
1104	15-19	-0.01920965295165189
1104	20-24	0.04862977514542166
1104	25-29	0.01007576066746907
1104	30-34	0.032565545762388126
1104	35-39	-0.04766896124886699
1104	40-44	0.013436745096115033
1104	45-49	0.04174337628703739
1104	50-54	-0.057550718367423315
1104	55-59	-0.04098038441107121
1104	60-64	0.06523942541046779
1104	65-69	0.05194713583426136
1104	70-74	0.024589430530589595
1104	75-79	0.05391122843891338
1104	80-84	0.08566684477375475
1104	85-89	0.08471163046619523
1104	90-94	0.03707958650097254
1104	95-99	-0.038526124158039465
1104	100-104	0.0649652504304612
1104	105-109	0.08259911989916446
1104	110-114	0.14258378917905645
1104	115-119	0.14100957113086565
1104	120-124	0.18443812555180017
1104	125-129	0.27283833600566254
1104	130-134	0.23477096930346875
1104	135-139	0.22011951532755347
1104	140-144	0.24168031245034172
1104	145-149	0.22748374280245542
1104	150-151	0.4882934813844173
1105	1	0.1372908932809338
1105	2	-0.2815902186154915
1105	3	-0.02847475533239674
1105	4	-0.10128080288266972
1105	5	-0.018985884167030065
1105	6	-0.13886397528905547
1105	7	0.013527087640049729
1105	8	-0.23396831008793129
1105	9	0.06339935289675225
1105	10-14	-0.1320364346054319
1105	15-19	0.03189760862426283
1105	20-24	0.08570267181661961
1105	25-29	0.03519633747350781
1105	30-34	0.03845765681627711
