##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	reverse.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	15724980
Total Bases	2.3 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.71519187941733	40.0	40.0	40.0	40.0	40.0
2	39.2554618193473	40.0	40.0	40.0	40.0	40.0
3	39.36111142907654	40.0	40.0	40.0	40.0	40.0
4	39.36885477755774	40.0	40.0	40.0	40.0	40.0
5	39.40056521534527	40.0	40.0	40.0	40.0	40.0
6	39.42169592584538	40.0	40.0	40.0	40.0	40.0
7	39.46293540595918	40.0	40.0	40.0	40.0	40.0
8	39.47223157040581	40.0	40.0	40.0	40.0	40.0
9	39.45382925765247	40.0	40.0	40.0	40.0	40.0
10-14	39.495795250613995	40.0	40.0	40.0	40.0	40.0
15-19	39.527721472459746	40.0	40.0	40.0	40.0	40.0
20-24	39.537233242903966	40.0	40.0	40.0	40.0	40.0
25-29	39.36857003315743	40.0	40.0	40.0	40.0	40.0
30-34	39.31848678980832	40.0	40.0	40.0	40.0	40.0
35-39	39.30615110480268	40.0	40.0	40.0	40.0	40.0
40-44	39.29746947849854	40.0	40.0	40.0	40.0	40.0
45-49	39.291218914109905	40.0	40.0	40.0	40.0	40.0
50-54	39.264551840447496	40.0	40.0	40.0	40.0	40.0
55-59	39.23388555025189	40.0	40.0	40.0	40.0	40.0
60-64	39.21335777851546	40.0	40.0	40.0	40.0	40.0
65-69	39.190104432565256	40.0	40.0	40.0	40.0	40.0
70-74	39.16248748170109	40.0	40.0	40.0	40.0	40.0
75-79	39.13044679230117	40.0	40.0	40.0	40.0	40.0
80-84	39.07878600799493	40.0	40.0	40.0	40.0	40.0
85-89	39.0500553895776	40.0	40.0	40.0	40.0	40.0
90-94	39.018376748332905	40.0	40.0	40.0	40.0	40.0
95-99	38.98091345108229	40.0	40.0	40.0	40.0	40.0
100-104	38.92444747147532	40.0	40.0	40.0	40.0	40.0
105-109	38.87865653247253	40.0	40.0	40.0	40.0	40.0
110-114	38.847188180843474	40.0	40.0	40.0	40.0	40.0
115-119	38.80181647289854	40.0	40.0	40.0	40.0	40.0
120-124	38.74477680734729	40.0	40.0	40.0	40.0	40.0
125-129	38.657089115534646	40.0	40.0	40.0	40.0	40.0
130-134	38.62634854861501	40.0	40.0	40.0	40.0	40.0
135-139	38.54975813005804	40.0	40.0	40.0	40.0	40.0
140-144	38.46033918008163	40.0	40.0	40.0	40.0	40.0
145-149	38.34288743133537	40.0	40.0	40.0	40.0	40.0
150-151	37.914831179435524	40.0	40.0	40.0	32.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.12521665758177392
1101	2	0.04104237286306045
1101	3	0.049770377509474883
1101	4	0.14766602738559698
1101	5	0.09692704339864378
1101	6	0.02801421933126136
1101	7	0.055231295683306314
1101	8	0.03281403800176008
1101	9	0.07302378372781249
1101	10-14	0.08838850158282696
1101	15-19	0.05192267456907729
1101	20-24	0.060390305240773046
1101	25-29	0.11623080241529493
1101	30-34	0.11602259719233388
1101	35-39	0.12850484947211527
1101	40-44	0.12404634815680282
1101	45-49	0.12784679948127575
1101	50-54	0.16455000006746445
1101	55-59	0.19427105883318774
1101	60-64	0.20240929725301982
1101	65-69	0.21458494575298914
1101	70-74	0.20410052902265363
1101	75-79	0.2629680134899317
1101	80-84	0.2802070761691482
1101	85-89	0.2809999823951159
1101	90-94	0.351264841640905
1101	95-99	0.3623775848197184
1101	100-104	0.3572218824902862
1101	105-109	0.3770096115991777
1101	110-114	0.38844682289736454
1101	115-119	0.3914608857196029
1101	120-124	0.4441479917857336
1101	125-129	0.46280034699694284
1101	130-134	0.3916036433138501
1101	135-139	0.41829707030879604
1101	140-144	0.4822236919521501
1101	145-149	0.46198982382346543
1101	150-151	0.5358147166658256
1102	1	-0.27993831415336956
1102	2	-0.10668099606037629
1102	3	-0.04251186716312105
1102	4	-0.028059757479297787
1102	5	0.17186168690820125
1102	6	-0.039329787540879124
1102	7	0.0853993170424232
1102	8	0.05105154224175834
1102	9	-0.02665294683294661
1102	10-14	0.06650270177723172
1102	15-19	0.032544244866002714
1102	20-24	0.0031773220118438417
1102	25-29	0.0344694264846126
1102	30-34	3.794304450366326E-4
1102	35-39	0.0654340029281073
1102	40-44	0.01858638548685576
1102	45-49	0.060256556590296384
1102	50-54	0.08545089192120514
1102	55-59	0.12973327199884466
1102	60-64	0.11670619435046348
1102	65-69	0.12947513565075752
1102	70-74	0.12042092158424111
1102	75-79	0.1387970755172816
1102	80-84	0.12044702308201494
1102	85-89	0.18755947296669007
1102	90-94	0.224380882329001
1102	95-99	0.21688007535626497
1102	100-104	0.20278629272494442
1102	105-109	0.2632483180301364
1102	110-114	0.22897492718163903
1102	115-119	0.28702758979820686
1102	120-124	0.3073788294288988
1102	125-129	0.4000807295017452
1102	130-134	0.3392708762769985
1102	135-139	0.3085916901791137
1102	140-144	0.3970019350410823
1102	145-149	0.46473486866901936
1102	150-151	0.4884411499119068
1103	1	0.20575790511891512
1103	2	-0.058987950813978784
1103	3	-0.1433946431132611
1103	4	0.09802511465044006
1103	5	0.1270368369305217
1103	6	-0.1520903634943238
1103	7	-0.04315699712001475
1103	8	0.07486500209528657
1103	9	0.09875413851859349
1103	10-14	0.016235719912160107
1103	15-19	-0.0025188223671364085
1103	20-24	0.03153691269475445
1103	25-29	0.0036152498302328695
1103	30-34	-0.029763070092222677
1103	35-39	0.014419802468538023
