##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	forward.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	13083441
Total Bases	1.9 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.76875968638526	40.0	40.0	40.0	40.0	40.0
2	39.29657297342496	40.0	40.0	40.0	40.0	40.0
3	39.36588058141585	40.0	40.0	40.0	40.0	40.0
4	39.268385128958045	40.0	40.0	40.0	40.0	40.0
5	39.31483223717675	40.0	40.0	40.0	40.0	40.0
6	39.23437542157296	40.0	40.0	40.0	40.0	40.0
7	39.169117359874974	40.0	40.0	40.0	40.0	40.0
8	39.13332249520596	40.0	40.0	40.0	40.0	40.0
9	39.15542142162754	40.0	40.0	40.0	40.0	40.0
10-14	39.156922616917065	40.0	40.0	40.0	40.0	40.0
15-19	39.46568365310013	40.0	40.0	40.0	40.0	40.0
20-24	39.54716744623987	40.0	40.0	40.0	40.0	40.0
25-29	39.39303264332373	40.0	40.0	40.0	40.0	40.0
30-34	39.34715153299503	40.0	40.0	40.0	40.0	40.0
35-39	39.39201896504139	40.0	40.0	40.0	40.0	40.0
40-44	39.38737841214707	40.0	40.0	40.0	40.0	40.0
45-49	39.38591656430445	40.0	40.0	40.0	40.0	40.0
50-54	39.34647061121001	40.0	40.0	40.0	40.0	40.0
55-59	39.23473428740956	40.0	40.0	40.0	40.0	40.0
60-64	39.18926215205923	40.0	40.0	40.0	40.0	40.0
65-69	39.26092993425812	40.0	40.0	40.0	40.0	40.0
70-74	39.278341286516294	40.0	40.0	40.0	40.0	40.0
75-79	39.25539395943315	40.0	40.0	40.0	40.0	40.0
80-84	39.21560488559546	40.0	40.0	40.0	40.0	40.0
85-89	39.18858734487357	40.0	40.0	40.0	40.0	40.0
90-94	39.165404269412	40.0	40.0	40.0	40.0	40.0
95-99	39.12334848301758	40.0	40.0	40.0	40.0	40.0
100-104	39.09671041433213	40.0	40.0	40.0	40.0	40.0
105-109	39.069094162613645	40.0	40.0	40.0	40.0	40.0
110-114	39.015965234222406	40.0	40.0	40.0	40.0	40.0
115-119	38.976475959191475	40.0	40.0	40.0	40.0	40.0
120-124	38.949028072966435	40.0	40.0	40.0	40.0	40.0
125-129	38.897528746451336	40.0	40.0	40.0	40.0	40.0
130-134	38.870345133210755	40.0	40.0	40.0	40.0	40.0
135-139	38.82921842961649	40.0	40.0	40.0	40.0	40.0
140-144	38.79524917030619	40.0	40.0	40.0	40.0	40.0
145-149	38.74327027576308	40.0	40.0	40.0	40.0	40.0
150-151	38.41669909315141	40.0	40.0	40.0	40.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.10603019916536738
1101	2	-0.0750400238149993
1101	3	-0.041381358481892505
1101	4	-0.053366617627027324
1101	5	0.007095492508994994
1101	6	-0.03849060762090062
1101	7	-1.354345429405157E-4
1101	8	-0.10729797564114563
1101	9	-0.034608487852842984
1101	10-14	-0.10850375181540528
1101	15-19	-0.028493383755034074
1101	20-24	0.009818311856790274
1101	25-29	0.05171822905896306
1101	30-34	0.03358261093482895
1101	35-39	0.05651294050075961
1101	40-44	0.040472989309002116
1101	45-49	0.01959565006350772
1101	50-54	0.008033411173435923
1101	55-59	0.005581669984444204
1101	60-64	-0.03330262030733877
1101	65-69	-0.022305227216072865
1101	70-74	0.007976493781804095
1101	75-79	0.044732872281315395
1101	80-84	0.04557928412152279
1101	85-89	0.03806275510355306
1101	90-94	0.012098177289658452
1101	95-99	0.008200641533072428
1101	100-104	0.007201378349712684
1101	105-109	0.04611359241163626
1101	110-114	0.05469186246254765
1101	115-119	0.04898781395396412
1101	120-124	0.026009914889961294
1101	125-129	0.0527568414519024
1101	130-134	0.02415996297175127
1101	135-139	0.10967419777529841
1101	140-144	0.1400115493051004
1101	145-149	0.15125060224972486
1101	150-151	0.15291361326315211
1102	1	-0.13670453793733373
1102	2	-0.0678332131038033
1102	3	0.02104557628546644
1102	4	-0.05772130549235044
1102	5	-0.1602204518720285
1102	6	0.07919771156930011
1102	7	0.01235442228359318
1102	8	-0.23568648325368713
1102	9	-0.08786702531037349
1102	10-14	-0.11818274616273072
1102	15-19	0.060397950192623284
1102	20-24	0.06411248451767904
1102	25-29	0.07247597569281083
1102	30-34	0.010863621538746315
1102	35-39	-0.008831446026348999
1102	40-44	0.020256441151282445
1102	45-49	0.05026619978913516
1102	50-54	-0.008960702347579286
1102	55-59	0.021396768527957022
1102	60-64	0.09000536082292143
1102	65-69	0.09630698035108054
1102	70-74	0.032326643006804545
1102	75-79	0.053549868801695766
1102	80-84	0.05440969026106046
1102	85-89	0.12893905652428828
1102	90-94	0.13009629306625214
1102	95-99	0.04757265875239369
1102	100-104	0.17574241178436267
1102	105-109	0.1698847211577359
1102	110-114	0.2483322646135946
1102	115-119	0.24031041500747818
1102	120-124	0.18431837739117185
1102	125-129	0.18106489134944326
1102	130-134	0.17726171103596045
1102	135-139	0.2094685836147363
1102	140-144	0.2600479271950391
1102	145-149	0.3159571722754464
1102	150-151	0.1442652684915302
1103	1	-0.2577894356371715
1103	2	-0.12520132316047494
1103	3	-0.21701220778459174
1103	4	-0.16358136227265874
1103	5	-0.3590211299220769
1103	6	-0.34549392062864825
1103	7	-0.3678629785040002
1103	8	-0.47312737749717826
1103	9	-0.5700034381577268
1103	10-14	-0.48405058456756933
1103	15-19	-0.13947893622341923
1103	20-24	-0.052010151417299255
1103	25-29	-0.13016915975637033
1103	30-34	-0.10670394662427896
1103	35-39	0.003050909558638182
1103	40-44	-0.057464979334483246
1103	45-49	-0.032575053748622906
1103	50-54	0.059984490957049275
1103	55-59	0.00886297728611396
1103	60-64	0.06790924850667324
1103	65-69	0.044846736036269874
1103	70-74	0.11357032814798629
1103	75-79	0.10335244202541105
1103	80-84	0.12028118594128756
1103	85-89	0.05520062926726865
1103	90-94	0.18389031972206027
1103	95-99	0.1264157611970873
