##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	reverse.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	13515361
Total Bases	2 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.83399044982964	40.0	40.0	40.0	40.0	40.0
2	39.32686740664937	40.0	40.0	40.0	40.0	40.0
3	39.41189687793023	40.0	40.0	40.0	40.0	40.0
4	39.39795836751974	40.0	40.0	40.0	40.0	40.0
5	39.42549029951919	40.0	40.0	40.0	40.0	40.0
6	39.44426005343106	40.0	40.0	40.0	40.0	40.0
7	39.49785092680839	40.0	40.0	40.0	40.0	40.0
8	39.498694411492224	40.0	40.0	40.0	40.0	40.0
9	39.48024976913306	40.0	40.0	40.0	40.0	40.0
10-14	39.5118186484253	40.0	40.0	40.0	40.0	40.0
15-19	39.541205654810106	40.0	40.0	40.0	40.0	40.0
20-24	39.55106072268436	40.0	40.0	40.0	40.0	40.0
25-29	39.396732473516614	40.0	40.0	40.0	40.0	40.0
30-34	39.348091641799286	40.0	40.0	40.0	40.0	40.0
35-39	39.3333851755791	40.0	40.0	40.0	40.0	40.0
40-44	39.32354721416616	40.0	40.0	40.0	40.0	40.0
45-49	39.314771273960055	40.0	40.0	40.0	40.0	40.0
50-54	39.28686708405347	40.0	40.0	40.0	40.0	40.0
55-59	39.25724443468435	40.0	40.0	40.0	40.0	40.0
60-64	39.23709228336558	40.0	40.0	40.0	40.0	40.0
65-69	39.213602951486095	40.0	40.0	40.0	40.0	40.0
70-74	39.188451540436105	40.0	40.0	40.0	40.0	40.0
75-79	39.15597294071539	40.0	40.0	40.0	40.0	40.0
80-84	39.105236567487914	40.0	40.0	40.0	40.0	40.0
85-89	39.07737401908835	40.0	40.0	40.0	40.0	40.0
90-94	39.04513286770513	40.0	40.0	40.0	40.0	40.0
95-99	39.00636166507132	40.0	40.0	40.0	40.0	40.0
100-104	38.95096540891508	40.0	40.0	40.0	40.0	40.0
105-109	38.90319697712847	40.0	40.0	40.0	40.0	40.0
110-114	38.87344901849089	40.0	40.0	40.0	40.0	40.0
115-119	38.82479096192843	40.0	40.0	40.0	40.0	40.0
120-124	38.767425657368676	40.0	40.0	40.0	40.0	40.0
125-129	38.677529161078276	40.0	40.0	40.0	40.0	40.0
130-134	38.639100620397784	40.0	40.0	40.0	40.0	40.0
135-139	38.55706821297633	40.0	40.0	40.0	40.0	40.0
140-144	38.45853129635235	40.0	40.0	40.0	40.0	40.0
145-149	38.32776302460586	40.0	40.0	40.0	40.0	40.0
150-151	37.87931776295136	40.0	40.0	40.0	32.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.06024384454194376
1101	2	0.014232477284295442
1101	3	0.016007592130854675
1101	4	0.08495486595475654
1101	5	0.07443705134405576
1101	6	0.037882195362662685
1101	7	0.01915519371455332
1101	8	-0.01363545591259907
1101	9	0.054791277461404775
1101	10-14	0.035093485874440944
1101	15-19	-0.01143223490655032
1101	20-24	0.01612796940874972
1101	25-29	0.0383465071428688
1101	30-34	0.06204088880881642
1101	35-39	0.03591411318959814
1101	40-44	0.05031389229387173
1101	45-49	0.06986994506122812
1101	50-54	0.08245695392938046
1101	55-59	0.09142544728736368
1101	60-64	0.11212100965578031
1101	65-69	0.13583921178893377
1101	70-74	0.1268865138598798
1101	75-79	0.18044487168472756
1101	80-84	0.2033526313509526
1101	85-89	0.21855134299072887
1101	90-94	0.2610986913085682
1101	95-99	0.26519395793418
1101	100-104	0.2950090256718383
1101	105-109	0.32015723161848797
1101	110-114	0.31840034089746894
1101	115-119	0.3351301401084683
1101	120-124	0.3724222944941147
1101	125-129	0.3998526184815674
1101	130-134	0.37010839513861526
1101	135-139	0.3680953597981542
1101	140-144	0.3696752906610996
1101	145-149	0.40621953387103815
1101	150-151	0.42994318896749206
1102	1	0.16266030958129818
1102	2	-0.08284409185060326
1102	3	0.10744520236529098
1102	4	0.13165913769132231
1102	5	0.03676592335409623
1102	6	0.18855589781659887
1102	7	0.03480015189077079
1102	8	0.05319971894016362
1102	9	0.07843526998843231
1102	10-14	0.02077953818884737
1102	15-19	0.06714494586621811
1102	20-24	0.04986515789229884
1102	25-29	0.1022854550536536
1102	30-34	0.09583644862411944
1102	35-39	0.07262896022607634
1102	40-44	0.07920553960852317
1102	45-49	0.13003709605381175
1102	50-54	0.10785064514143272
1102	55-59	0.1529531547533125
1102	60-64	0.07721207073489467
1102	65-69	0.20609379366824498
1102	70-74	0.22765128640085663
1102	75-79	0.29280752340064
1102	80-84	0.33922019328491615
1102	85-89	0.22273029796372157
1102	90-94	0.292487334481379
1102	95-99	0.31178797271078196
1102	100-104	0.3554111032588665
1102	105-109	0.3891896186996888
1102	110-114	0.4459791737230603
1102	115-119	0.44272435846409053
1102	120-124	0.4088805959243942
1102	125-129	0.49896209535553737
1102	130-134	0.4027249981793375
1102	135-139	0.40854957523521307
1102	140-144	0.5201918949629132
1102	145-149	0.46049910732793364
1102	150-151	0.48546081116445094
1103	1	0.2532898913407564
1103	2	0.18435159582661242
1103	3	0.09828218440730296
1103	4	0.2770464017776746
1103	5	0.2812043561961488
1103	6	0.14231064447765363
1103	7	0.13351333500084195
1103	8	0.12417136087576353
1103	9	0.22214062131649825
1103	10-14	0.14939042386487245
1103	15-19	0.16059330119199444
1103	20-24	0.15759734768526812
1103	25-29	0.24262965268842862
1103	30-34	0.2832542984075417
1103	35-39	0.21112959979377877
1103	40-44	0.18439121462797203
