##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	reverse.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	11557120
Total Bases	1.7 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.69325489395282	40.0	40.0	40.0	40.0	40.0
2	39.24183983552996	40.0	40.0	40.0	40.0	40.0
3	39.34626983193045	40.0	40.0	40.0	40.0	40.0
4	39.35363983414553	40.0	40.0	40.0	40.0	40.0
5	39.37860072405582	40.0	40.0	40.0	40.0	40.0
6	39.39697467881271	40.0	40.0	40.0	40.0	40.0
7	39.44306903449994	40.0	40.0	40.0	40.0	40.0
8	39.45505714226382	40.0	40.0	40.0	40.0	40.0
9	39.43821073070107	40.0	40.0	40.0	40.0	40.0
10-14	39.47899964697088	40.0	40.0	40.0	40.0	40.0
15-19	39.513319131409894	40.0	40.0	40.0	40.0	40.0
20-24	39.5265929228043	40.0	40.0	40.0	40.0	40.0
25-29	39.35935129167128	40.0	40.0	40.0	40.0	40.0
30-34	39.31139664553107	40.0	40.0	40.0	40.0	40.0
35-39	39.30012061828553	40.0	40.0	40.0	40.0	40.0
40-44	39.29598862000221	40.0	40.0	40.0	40.0	40.0
45-49	39.290482196256505	40.0	40.0	40.0	40.0	40.0
50-54	39.26598560887142	40.0	40.0	40.0	40.0	40.0
55-59	39.23714620943626	40.0	40.0	40.0	40.0	40.0
60-64	39.21501689002104	40.0	40.0	40.0	40.0	40.0
65-69	39.19381043028021	40.0	40.0	40.0	40.0	40.0
70-74	39.16842396721675	40.0	40.0	40.0	40.0	40.0
75-79	39.13698391986931	40.0	40.0	40.0	40.0	40.0
80-84	39.0874847366818	40.0	40.0	40.0	40.0	40.0
85-89	39.059839717853585	40.0	40.0	40.0	40.0	40.0
90-94	39.028176673773395	40.0	40.0	40.0	40.0	40.0
95-99	38.990144707331936	40.0	40.0	40.0	40.0	40.0
100-104	38.93596927262155	40.0	40.0	40.0	40.0	40.0
105-109	38.88957989533725	40.0	40.0	40.0	40.0	40.0
110-114	38.85951545021597	40.0	40.0	40.0	40.0	40.0
115-119	38.81328902010189	40.0	40.0	40.0	40.0	40.0
120-124	38.75525206971979	40.0	40.0	40.0	40.0	40.0
125-129	38.66841458771736	40.0	40.0	40.0	40.0	40.0
130-134	38.634219840237016	40.0	40.0	40.0	40.0	40.0
135-139	38.55596646915494	40.0	40.0	40.0	40.0	40.0
140-144	38.46383102364602	40.0	40.0	40.0	40.0	40.0
145-149	38.340751605936426	40.0	40.0	40.0	40.0	40.0
150-151	37.921235913445564	40.0	40.0	40.0	32.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.11892568259148817
1101	2	0.03979997004958591
1101	3	0.02032900393131598
1101	4	0.10165538178549838
1101	5	0.06045850607314662
1101	6	0.03500391193207264
1101	7	0.03289792634588906
1101	8	-0.02342387980335303
1101	9	0.061340437615520216
1101	10-14	0.03248917958099895
1101	15-19	-0.00368157131894975
1101	20-24	0.049036443360591875
1101	25-29	0.04958882148072519
1101	30-34	0.05390094830497105
1101	35-39	0.0774754812304721
1101	40-44	0.07708873249550408
1101	45-49	0.07917769228336624
1101	50-54	0.07869896350139527
1101	55-59	0.10617769965222834
1101	60-64	0.13748009363261104
1101	65-69	0.16792076198120753
1101	70-74	0.16180733172453898
1101	75-79	0.17620588430258977
1101	80-84	0.22438915643301982
1101	85-89	0.22818161690685201
1101	90-94	0.2567365517845701
1101	95-99	0.27923420885964845
1101	100-104	0.29347139509079767
1101	105-109	0.31926376863162176
1101	110-114	0.32075248696912695
1101	115-119	0.328511137085826
1101	120-124	0.3704754212363426
1101	125-129	0.38433031186205824
1101	130-134	0.35944810844286224
1101	135-139	0.35945794742441706
1101	140-144	0.3820701896251322
1101	145-149	0.40832671398571563
1101	150-151	0.41568936745260743
1102	1	0.2070987854633657
1102	2	0.07277731918319574
1102	3	0.04176682666629006
1102	4	0.12132293553002427
1102	5	0.0732717088802346
1102	6	0.10197071070817287
1102	7	0.04080583608238442
1102	8	-0.07226200474335798
1102	9	0.12816550086208167
1102	10-14	0.06789134637262606
1102	15-19	0.08197845955970706
1102	20-24	0.054180898942632894
1102	25-29	0.1297144815582385
1102	30-34	0.16862199684732104
1102	35-39	0.13746396878151756
1102	40-44	0.17354149640957672
1102	45-49	0.1346475371425484
1102	50-54	0.14491951305434725
1102	55-59	0.17090673539329515
1102	60-64	0.1493782083298214
1102	65-69	0.2140074556709024
1102	70-74	0.23159821740446773
1102	75-79	0.23686293860556162
1102	80-84	0.2561201398068178
1102	85-89	0.31784553398197346
1102	90-94	0.30194407060825057
1102	95-99	0.32900493803712294
1102	100-104	0.4075515502899023
1102	105-109	0.36456088918494345
1102	110-114	0.3791160168367895
1102	115-119	0.4120102064119848
1102	120-124	0.5131615893644721
1102	125-129	0.4932169093167005
1102	130-134	0.4918765109474137
1102	135-139	0.4900341489925495
1102	140-144	0.5184407572966521
1102	145-149	0.4388079890250651
1102	150-151	0.5378620254252127
1103	1	0.12809197404641282
1103	2	0.19029390158407722
1103	3	0.1459835428126368
1103	4	0.22447667104376023
1103	5	0.2751875956883154
1103	6	0.23202095982001225
1103	7	0.14425053344811545
1103	8	0.13488537616353113
1103	9	0.17321803402445823
1103	10-14	0.1331707715871815
1103	15-19	0.17146086752120482
1103	20-24	0.15768728022098344
1103	25-29	0.2269853563738451
1103	30-34	0.24701216311261476
1103	35-39	0.3192871939384645
1103	40-44	0.2693575619652293
1103	45-49	0.31531195823030345
1103	50-54	0.24548252423794992
1103	55-59	0.26103119917485174
1103	60-64	0.2931568135169087
1103	65-69	0.3135621870500742
1103	70-74	0.35356089087834164
1103	75-79	0.367004743713494
1103	80-84	0.3738258474114957
1103	85-89	0.4001567021647148
1103	90-94	0.4140858117045809
1103	95-99	0.4082028144035519
1103	100-104	0.4946880298260723
1103	105-109	0.5080539638079244
1103	110-114	0.4777629472377356
1103	115-119	0.5544457316902651
1103	120-124	0.547104811068678
1103	125-129	0.681183890965734
1103	130-134	0.5402945028644979
1103	135-139	0.6434540661072177
1103	140-144	0.5847354454000993
1103	145-149	0.5565800359320008
1103	150-151	0.5512520898538611
1104	1	0.3081676544629346
1104	2	0.10550610052167286
1104	3	-0.08345329138253277
1104	4	0.18193139075704323
1104	5	0.2059540645047946
1104	6	0.1408695322852651
1104	7	0.1330484315402103
1104	8	0.08312674550695931
1104	9	0.07010192906341217
1104	10-14	0.0203126224601462
1104	15-19	0.06556656559711627
1104	20-24	0.04239002478325915
1104	25-29	0.15784038234730247
1104	30-34	0.09324136436207908
1104	35-39	0.059983133980722414
1104	40-44	0.11550199055159283
1104	45-49	0.09515640607028075
1104	50-54	0.13496016473846595
1104	55-59	0.16101383780912926
1104	60-64	0.2194632562865948
1104	65-69	0.12800655948400674
1104	70-74	0.17916535733803585
1104	75-79	0.21637204729471193
1104	80-84	0.2479948316864551
1104	85-89	0.28614314705373545
1104	90-94	0.3323910774966876
1104	95-99	0.3103725120556007
1104	100-104	0.3185398971663176
1104	105-109	0.37464487752193776
1104	110-114	0.43192818486374307
1104	115-119	0.3820707394366494
1104	120-124	0.40851210350457023
1104	125-129	0.41319101149098714
1104	130-134	0.3553288778955448
1104	135-139	0.4793050497681435
1104	140-144	0.41407180128254595
1104	145-149	0.36428044025785766
1104	150-151	0.5701840205276127
1105	1	0.15119184792024498
1105	2	0.07674229109682074
1105	3	-0.019355424318931114
1105	4	0.0853075424365386
1105	5	0.06441002906954907
1105	6	0.041515308538137674
1105	7	0.0621616693887006
1105	8	0.19426079546596497
1105	9	0.18280264711962957
1105	10-14	0.033411557911882994
1105	15-19	0.03249197945634563
1105	20-24	0.05756700903751977
1105	25-29	0.06371163818899106
1105	30-34	0.053951786002691904
1105	35-39	0.06730184116332083
1105	40-44	0.06259378383995085
1105	45-49	0.10752531394269482
1105	50-54	0.05544136856116921
1105	55-59	0.06939826780260461
1105	60-64	0.095104865148123
1105	65-69	0.08079329069065722
1105	70-74	0.11416688199340541
1105	75-79	0.21372587801956655
1105	80-84	0.2175129276516543
1105	85-89	0.17022669365059073
1105	90-94	0.23428151463231472
1105	95-99	0.10457882164421761
1105	100-104	0.2673443640677391
1105	105-109	0.2800459522345733
1105	110-114	0.2562824650795932
1105	115-119	0.2519501900186185
1105	120-124	0.28129973821069143
1105	125-129	0.3303144498486006
1105	130-134	0.36560238977542525
1105	135-139	0.3485325351257984
1105	140-144	0.3874438646268956
1105	145-149	0.40977561444126565
1105	150-151	0.47894593260356544
1106	1	0.21562834442320167
1106	2	0.16682650191015824
1106	3	-0.04528490173925093
1106	4	0.08325158064725002
1106	5	0.24604180104138607
1106	6	0.1993135570622897
1106	7	0.13578909675517536
1106	8	0.18689132677120313
1106	9	0.17098132128785437
1106	10-14	0.1104983091377818
1106	15-19	0.14023673843527718
1106	20-24	0.12498292319975235
1106	25-29	0.21187431548388247
1106	30-34	0.21077113494812494
1106	35-39	0.2648534106292928
1106	40-44	0.21626047625915845
1106	45-49	0.2985588846538789
1106	50-54	0.21007659894796404
1106	55-59	0.23504916330939096
1106	60-64	0.275601949808852
1106	65-69	0.23670645311799632
1106	70-74	0.31358026937677863
1106	75-79	0.3348272991054486
1106	80-84	0.3796641435503645
1106	85-89	0.33478034907248144
1106	90-94	0.31664432553746025
1106	95-99	0.31293446122375457
1106	100-104	0.35914932946086964
1106	105-109	0.45738547223748327
1106	110-114	0.4439948667465359
1106	115-119	0.34774492104845933
1106	120-124	0.4347308403134633
1106	125-129	0.49909491548486784
1106	130-134	0.44279857415757107
1106	135-139	0.40407440648731097
1106	140-144	0.5216285467117672
1106	145-149	0.480390176140574
1106	150-151	0.5009289086582385
1107	1	-0.011893244470684294
1107	2	0.24077971560911493
1107	3	0.09344064686521847
1107	4	0.1488623360867649
1107	5	0.13568513311940933
1107	6	-0.007157066473844509
1107	7	0.07598118550946964
1107	8	0.08653134517471273
1107	9	0.1184060917441414
1107	10-14	0.10162635874027615
1107	15-19	0.05338193739054731
1107	20-24	0.10716318187509444
1107	25-29	0.12979920726762373
1107	30-34	0.12469543879381462
1107	35-39	0.14481489894750865
1107	40-44	0.15634784941978097
1107	45-49	0.17761446132456626
1107	50-54	0.17649455158415606
1107	55-59	0.158167391911185
1107	60-64	0.13516059619455234
1107	65-69	0.1528744885960549
1107	70-74	0.20005047544210441
1107	75-79	0.2419184755990571
1107	80-84	0.27846539352752586
1107	85-89	0.2720737988685755
1107	90-94	0.30721018112212306
1107	95-99	0.3496670215982931
1107	100-104	0.33915769627159165
1107	105-109	0.334008585682561
1107	110-114	0.3846618285418657
1107	115-119	0.38938241549305985
1107	120-124	0.4632322679766432
1107	125-129	0.48102225643065566
1107	130-134	0.41446309113950264
1107	135-139	0.4730294509696975
