##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	forward.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	12944042
Total Bases	1.9 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.804584224927574	40.0	40.0	40.0	40.0	40.0
2	39.257878489578445	40.0	40.0	40.0	40.0	40.0
3	39.3431884723489	40.0	40.0	40.0	40.0	40.0
4	39.25878531605506	40.0	40.0	40.0	40.0	40.0
5	39.22200777778688	40.0	40.0	40.0	40.0	40.0
6	39.29445748090125	40.0	40.0	40.0	40.0	40.0
7	39.14555623351655	40.0	40.0	40.0	40.0	40.0
8	39.17448104695581	40.0	40.0	40.0	40.0	40.0
9	39.180826205601	40.0	40.0	40.0	40.0	40.0
10-14	39.198579948983486	40.0	40.0	40.0	40.0	40.0
15-19	39.48963079693344	40.0	40.0	40.0	40.0	40.0
20-24	39.56604337346866	40.0	40.0	40.0	40.0	40.0
25-29	39.413943248948044	40.0	40.0	40.0	40.0	40.0
30-34	39.36686045981618	40.0	40.0	40.0	40.0	40.0
35-39	39.40627405257183	40.0	40.0	40.0	40.0	40.0
40-44	39.40003760803619	40.0	40.0	40.0	40.0	40.0
45-49	39.38769419938532	40.0	40.0	40.0	40.0	40.0
50-54	39.348554153331705	40.0	40.0	40.0	40.0	40.0
55-59	39.23394389480504	40.0	40.0	40.0	40.0	40.0
60-64	39.191658216189346	40.0	40.0	40.0	40.0	40.0
65-69	39.25870052028571	40.0	40.0	40.0	40.0	40.0
70-74	39.276099691271085	40.0	40.0	40.0	40.0	40.0
75-79	39.255791475336686	40.0	40.0	40.0	40.0	40.0
80-84	39.21607315551047	40.0	40.0	40.0	40.0	40.0
85-89	39.19019039029694	40.0	40.0	40.0	40.0	40.0
90-94	39.166796739380175	40.0	40.0	40.0	40.0	40.0
95-99	39.12504381552532	40.0	40.0	40.0	40.0	40.0
100-104	39.100576373284326	40.0	40.0	40.0	40.0	40.0
105-109	39.07117229687604	40.0	40.0	40.0	40.0	40.0
110-114	39.01633520657612	40.0	40.0	40.0	40.0	40.0
115-119	38.97936795940557	40.0	40.0	40.0	40.0	40.0
120-124	38.95327697484294	40.0	40.0	40.0	40.0	40.0
125-129	38.902354983087974	40.0	40.0	40.0	40.0	40.0
130-134	38.87356199863999	40.0	40.0	40.0	40.0	40.0
135-139	38.82973692452481	40.0	40.0	40.0	40.0	40.0
140-144	38.79775906165941	40.0	40.0	40.0	40.0	40.0
145-149	38.745447303091254	40.0	40.0	40.0	40.0	40.0
150-151	38.411494492987586	40.0	40.0	40.0	40.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.12118295346465402
1101	2	-0.09120783214009265
1101	3	-0.08222680376934477
1101	4	-0.12268304265928265
1101	5	-0.13195798456177954
1101	6	-0.04692043046834016
1101	7	-0.10467029973370501
1101	8	-0.11594151742337289
1101	9	-0.05322437056525331
1101	10-14	-0.14394531389144305
1101	15-19	-0.07364567624642149
1101	20-24	-0.006836884115827502
1101	25-29	-0.0209512823226774
1101	30-34	-0.05417711148468385
1101	35-39	-0.02111757436663453
1101	40-44	-0.012200739298684482
1101	45-49	-0.08955238377018304
1101	50-54	-0.031965427138139546
1101	55-59	-0.04947255911142889
1101	60-64	-0.08365819411141473
1101	65-69	-0.04036195944988208
1101	70-74	-0.020422349835605758
1101	75-79	-0.011950418810307895
1101	80-84	-0.00920611792020054
1101	85-89	0.0064766620401286445
1101	90-94	-0.025801612365171422
1101	95-99	-0.004739545239019094
1101	100-104	-0.0030625111292224005
1101	105-109	-0.010267508316765372
1101	110-114	0.0269557794647568
1101	115-119	-0.007353043672544857
1101	120-124	-0.010004956775887308
1101	125-129	0.07191352659597783
1101	130-134	0.03512678924079893
1101	135-139	0.1022577802161706
1101	140-144	0.08662893110050618
1101	145-149	0.11337912882483181
1101	150-151	0.15779077245044704
1102	1	-0.14663306615494065
1102	2	-0.10032562146630397
1102	3	-0.03103166138864566
1102	4	-0.10818988181404166
1102	5	0.08180754585674066
1102	6	-0.05517762160682338
1102	7	-0.03311014389716149
1102	8	-0.048988093062320104
1102	9	0.07496760460047369
1102	10-14	-0.02923839680448026
1102	15-19	0.024436508790550704
1102	20-24	0.04182262854780561
1102	25-29	0.06379409231039546
1102	30-34	0.03438740562939557
1102	35-39	-0.034513739572687996
1102	40-44	-0.027417815090082343
1102	45-49	-0.0428904063496276
1102	50-54	-0.017408638688081624
1102	55-59	-0.01755091488122673
1102	60-64	0.004616051082898309
1102	65-69	0.03229314851153475
1102	70-74	0.09250011481914555
1102	75-79	0.027014383281134258
1102	80-84	0.0394295227807504
1102	85-89	0.026524745003094097
1102	90-94	0.11777184860730472
1102	95-99	0.11089977169773135
1102	100-104	0.1450860068468529
1102	105-109	0.13807639749395406
1102	110-114	0.24387017966891733
1102	115-119	0.13830823872093134
1102	120-124	0.10162335955176616
1102	125-129	0.11894649475174646
1102	130-134	0.248658708818283
1102	135-139	0.20315927191195726
1102	140-144	0.1855470992664081
1102	145-149	0.31775183146771724
1102	150-151	0.40302619110499194
1103	1	-0.1621968273447436
1103	2	-0.2548373643587638
1103	3	-0.12345684621224962
1103	4	-0.45775724893394454
1103	5	-0.5510473587593196
1103	6	-0.35863632268466716
1103	7	-0.23086942837984736
1103	8	0.003160899560484154
1103	9	-0.4270660454983357
1103	10-14	-0.4585034326669515
1103	15-19	-0.0434922858997524
1103	20-24	-0.003331174606195475
1103	25-29	-0.09953596051884261
