##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	reverse.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	13560173
Total Bases	2 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.79134772100621	40.0	40.0	40.0	40.0	40.0
2	39.333958349941405	40.0	40.0	40.0	40.0	40.0
3	39.40957552680191	40.0	40.0	40.0	40.0	40.0
4	39.39958391386305	40.0	40.0	40.0	40.0	40.0
5	39.431393095058596	40.0	40.0	40.0	40.0	40.0
6	39.453100045257536	40.0	40.0	40.0	40.0	40.0
7	39.505963382620564	40.0	40.0	40.0	40.0	40.0
8	39.50778194348995	40.0	40.0	40.0	40.0	40.0
9	39.490069927573934	40.0	40.0	40.0	40.0	40.0
10-14	39.52570855843801	40.0	40.0	40.0	40.0	40.0
15-19	39.55531747271956	40.0	40.0	40.0	40.0	40.0
20-24	39.564966641649775	40.0	40.0	40.0	40.0	40.0
25-29	39.41285023428536	40.0	40.0	40.0	40.0	40.0
30-34	39.36422088420258	40.0	40.0	40.0	40.0	40.0
35-39	39.349414494933065	40.0	40.0	40.0	40.0	40.0
40-44	39.34005018962516	40.0	40.0	40.0	40.0	40.0
45-49	39.33053426383277	40.0	40.0	40.0	40.0	40.0
50-54	39.302410994314016	40.0	40.0	40.0	40.0	40.0
55-59	39.27041765617592	40.0	40.0	40.0	40.0	40.0
60-64	39.25152061113084	40.0	40.0	40.0	40.0	40.0
65-69	39.22745100670913	40.0	40.0	40.0	40.0	40.0
70-74	39.20083332270171	40.0	40.0	40.0	40.0	40.0
75-79	39.16808624786719	40.0	40.0	40.0	40.0	40.0
80-84	39.11940052682219	40.0	40.0	40.0	40.0	40.0
85-89	39.09142448256375	40.0	40.0	40.0	40.0	40.0
90-94	39.05933477397375	40.0	40.0	40.0	40.0	40.0
95-99	39.020425594865195	40.0	40.0	40.0	40.0	40.0
100-104	38.96483580261108	40.0	40.0	40.0	40.0	40.0
105-109	38.9193099527565	40.0	40.0	40.0	40.0	40.0
110-114	38.88869621353651	40.0	40.0	40.0	40.0	40.0
115-119	38.84080800444065	40.0	40.0	40.0	40.0	40.0
120-124	38.78186232579776	40.0	40.0	40.0	40.0	40.0
125-129	38.691056139180525	40.0	40.0	40.0	40.0	40.0
130-134	38.653944518259465	40.0	40.0	40.0	40.0	40.0
135-139	38.56843513722133	40.0	40.0	40.0	40.0	40.0
140-144	38.46708551579688	40.0	40.0	40.0	40.0	40.0
145-149	38.33065380508051	40.0	40.0	40.0	40.0	40.0
150-151	37.88265142339998	40.0	40.0	40.0	32.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.05185885150385161
1101	2	-0.05124547561637627
1101	3	0.004751401684600864
1101	4	0.08159403137842958
1101	5	0.018826945836842413
1101	6	-0.022397989210432456
1101	7	-0.016006011558872046
1101	8	0.013459261186547167
1101	9	0.009345726565499035
1101	10-14	0.037646946091520306
1101	15-19	0.006646170308066246
1101	20-24	0.028976823188322953
1101	25-29	0.03226797656659386
1101	30-34	0.060970443035728294
1101	35-39	0.060974676744521616
1101	40-44	0.060467792883940774
1101	45-49	0.06891498539238228
1101	50-54	0.09713064861649912
1101	55-59	0.11493708713538098
1101	60-64	0.12403761632408816
1101	65-69	0.1468360996261424
1101	70-74	0.18379522576807972
1101	75-79	0.185209371972185
1101	80-84	0.2243718290764818
1101	85-89	0.196980841870122
1101	90-94	0.25145967677645586
1101	95-99	0.2458711599240999
1101	100-104	0.26146625934727297
1101	105-109	0.3101130972061341
1101	110-114	0.3046561472284637
1101	115-119	0.3099367406126703
1101	120-124	0.3498844383776927
1101	125-129	0.3723050996672228
1101	130-134	0.3686063719232777
1101	135-139	0.36885762937988886
1101	140-144	0.39252497578635115
1101	145-149	0.39904162093977646
1101	150-151	0.4896781697263819
1102	1	0.017836254419741238
1102	2	0.024287087925323192
1102	3	-0.04482253287424953
1102	4	0.002784414426848514
1102	5	0.08888801516804534
1102	6	0.05603977181253583
1102	7	-0.01761146622490628
1102	8	-0.09663346614939172
1102	9	0.11379189992317151
1102	10-14	0.06352148094293852
1102	15-19	0.035214662296134236
1102	20-24	0.09564103185068262
1102	25-29	0.0564181843916316
1102	30-34	0.03863590183284771
1102	35-39	0.05906047180715035
1102	40-44	0.04844485631476658
1102	45-49	0.0684362238058398
1102	50-54	0.13005791847002257
1102	55-59	0.1294442363344004
1102	60-64	0.21829404908398686
1102	65-69	0.20208659840916
1102	70-74	0.1237962833721511
1102	75-79	0.1759913182616799
1102	80-84	0.20683308410192325
1102	85-89	0.2406472922440912
1102	90-94	0.3017797071840249
1102	95-99	0.2377218355782631
1102	100-104	0.39686697296707507
1102	105-109	0.3392335533431776
1102	110-114	0.3804209395889373
1102	115-119	0.32638207489882376
1102	120-124	0.40399866137029505
1102	125-129	0.46942049917131357
1102	130-134	0.4100021872585984
1102	135-139	0.419592240583313
1102	140-144	0.46340515654899406
1102	145-149	0.36986366853722075
1102	150-151	0.4898780043077622
1103	1	0.21805077250055405
1103	2	0.20009840630787323
1103	3	0.002877487556041558
1103	4	-0.0068492546966894
1103	5	0.1151299412732456
1103	6	0.033751893262767396
1103	7	0.010310458623038699
1103	8	-0.10614455351247187
1103	9	0.058361370778570176
1103	10-14	0.06855110486837646
1103	15-19	0.11693080694261226
1103	20-24	0.1354184988086118
1103	25-29	0.0939285174054092
1103	30-34	0.14699440633537364
1103	35-39	0.19188252395154137
1103	40-44	0.268606098476603
