##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	reverse.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	12771579
Total Bases	1.9 Gbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.790481270953265	40.0	40.0	40.0	40.0	40.0
2	39.309791530084105	40.0	40.0	40.0	40.0	40.0
3	39.389796202959715	40.0	40.0	40.0	40.0	40.0
4	39.38800128002966	40.0	40.0	40.0	40.0	40.0
5	39.419437173743354	40.0	40.0	40.0	40.0	40.0
6	39.43996290513491	40.0	40.0	40.0	40.0	40.0
7	39.47234872054583	40.0	40.0	40.0	40.0	40.0
8	39.48350051313154	40.0	40.0	40.0	40.0	40.0
9	39.4671733228914	40.0	40.0	40.0	40.0	40.0
10-14	39.50038920011379	40.0	40.0	40.0	40.0	40.0
15-19	39.524596136468325	40.0	40.0	40.0	40.0	40.0
20-24	39.53263388967018	40.0	40.0	40.0	40.0	40.0
25-29	39.36996335378735	40.0	40.0	40.0	40.0	40.0
30-34	39.32146225615485	40.0	40.0	40.0	40.0	40.0
35-39	39.306509336081305	40.0	40.0	40.0	40.0	40.0
40-44	39.296371858170396	40.0	40.0	40.0	40.0	40.0
45-49	39.28608742897022	40.0	40.0	40.0	40.0	40.0
50-54	39.260926029584915	40.0	40.0	40.0	40.0	40.0
55-59	39.235427631931806	40.0	40.0	40.0	40.0	40.0
60-64	39.217584763794676	40.0	40.0	40.0	40.0	40.0
65-69	39.19379707082421	40.0	40.0	40.0	40.0	40.0
70-74	39.16859974792467	40.0	40.0	40.0	40.0	40.0
75-79	39.136748275213264	40.0	40.0	40.0	40.0	40.0
80-84	39.08584669131358	40.0	40.0	40.0	40.0	40.0
85-89	39.05769831592475	40.0	40.0	40.0	40.0	40.0
90-94	39.02833436648671	40.0	40.0	40.0	40.0	40.0
95-99	38.9892353012889	40.0	40.0	40.0	40.0	40.0
100-104	38.934477905981716	40.0	40.0	40.0	40.0	40.0
105-109	38.88758215409386	40.0	40.0	40.0	40.0	40.0
110-114	38.858297098581154	40.0	40.0	40.0	40.0	40.0
115-119	38.81045280305591	40.0	40.0	40.0	40.0	40.0
120-124	38.7547037997416	40.0	40.0	40.0	40.0	40.0
125-129	38.66960920024063	40.0	40.0	40.0	40.0	40.0
130-134	38.638028547605586	40.0	40.0	40.0	40.0	40.0
135-139	38.562108851223485	40.0	40.0	40.0	40.0	40.0
140-144	38.475324625091375	40.0	40.0	40.0	40.0	40.0
145-149	38.36040545965381	40.0	40.0	40.0	40.0	40.0
150-151	37.93221863952766	40.0	40.0	40.0	32.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.04146456785183261
1101	2	0.05356738404174166
1101	3	0.005098006281400558
1101	4	0.11355529087550309
1101	5	0.05283952388962376
1101	6	0.04708432497320558
1101	7	0.04504213357201081
1101	8	0.052987334004384934
1101	9	0.06969047068356815
1101	10-14	0.03834629488874697
1101	15-19	0.017535406375074558
1101	20-24	0.03591162216125099
1101	25-29	0.06388143275182756
1101	30-34	0.05656335716253835
1101	35-39	0.0752777777210838
1101	40-44	0.04677965601624123
1101	45-49	0.09340899217275478
1101	50-54	0.08756153009049683
1101	55-59	0.10933834362942463
1101	60-64	0.1450069365522353
1101	65-69	0.17488103065487337
1101	70-74	0.1589151420195094
1101	75-79	0.17141255750137674
1101	80-84	0.22092387819669312
1101	85-89	0.23281694388452934
1101	90-94	0.2552235687223927
1101	95-99	0.28958172546978034
1101	100-104	0.2929273463345652
1101	105-109	0.2999761697080814
1101	110-114	0.30267901164108224
1101	115-119	0.26742906991093207
1101	120-124	0.3313896305693831
1101	125-129	0.3886694481446966
1101	130-134	0.3587057542955705
1101	135-139	0.3490304549230814
1101	140-144	0.3628941747240688
1101	145-149	0.402290418884391
1101	150-151	0.48103722711591956
1102	1	0.20965070113972928
1102	2	0.13360937725377653
1102	3	0.03599524948055688
1102	4	0.1600970273857456
1102	5	0.07503847368533911
1102	6	-0.08938660204342597
1102	7	-0.0035144169635330513
1102	8	-0.019388432083658813
1102	9	0.16503324676305198
1102	10-14	0.03072113537776744
1102	15-19	0.03176130232161967
1102	20-24	0.05520503249226749
1102	25-29	0.10449779287809235
1102	30-34	0.11270290103154679
1102	35-39	0.0987569992502344
1102	40-44	0.06025058104609826
1102	45-49	0.1706147489779255
1102	50-54	0.13895013313835847
1102	55-59	0.14803464676122502
1102	60-64	0.12640744500059498
1102	65-69	0.15796023914148805
1102	70-74	0.09813114796391176
1102	75-79	0.12284319817133849
1102	80-84	0.15859436751718192
1102	85-89	0.1887893773953735
1102	90-94	0.2051548792245086
1102	95-99	0.22044209663732772
1102	100-104	0.20987077528858578
1102	105-109	0.23193127207851916
1102	110-114	0.21065810759496628
1102	115-119	0.20447267625974774
1102	120-124	0.281458752480944
1102	125-129	0.3136837031876567
1102	130-134	0.29250046134173147
1102	135-139	0.21889997467859956
1102	140-144	0.19716244487416645
1102	145-149	0.24928726495248554
1102	150-151	0.21530966947371155
1103	1	0.17483085987370828
1103	2	0.025049252472392425
1103	3	0.013292860455678124
1103	4	0.0057169346974177415
1103	5	0.008816492989261349
1103	6	-0.048197844551175706
1103	7	0.03029710607789582
1103	8	-0.06600190956321228
1103	9	0.17218605426403855
1103	10-14	-0.028843700766522318
1103	15-19	0.016279690102528832
1103	20-24	0.03947911550779537
1103	25-29	0.029445573536023062
1103	30-34	0.08810506611040125
1103	35-39	0.1312591513443877
1103	40-44	0.0858500013833492
